age,two_year_recid,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,y
37,1,4,2,0,0,0,0,1,0,1,1
28,0,0,1,0,1,0,1,0,0,1,1
22,0,0,1,0,0,1,0,1,1,0,0
45,0,1,1,0,1,0,1,0,1,0,1
28,1,18,12,1,1,0,1,0,0,1,0
31,0,1,1,0,1,1,0,1,0,1,1
20,1,0,1,1,1,0,1,0,0,1,1
27,0,0,0,0,0,0,1,0,0,1,1
23,1,8,2,1,0,1,1,0,0,1,0
44,0,0,2,0,0,1,0,1,0,1,1
24,1,15,2,1,1,0,1,0,0,1,0
54,0,0,0,0,0,1,0,1,0,1,1
42,0,6,1,0,1,1,0,1,0,1,1
28,0,1,0,1,1,0,1,0,0,1,1
60,0,12,1,1,1,1,1,0,0,1,1
30,0,2,2,1,0,0,1,0,1,0,1
21,1,8,243,1,1,1,1,0,0,1,0
37,0,0,0,0,1,1,1,0,0,1,1
30,1,7,38,1,0,0,1,0,0,1,0
25,1,1,0,0,0,0,0,1,1,0,1
28,1,0,1,0,0,1,0,1,0,1,1
24,1,1,21,0,1,1,1,0,0,1,1
30,1,4,0,0,0,0,0,1,0,1,0
39,0,0,2,0,0,1,0,1,1,0,1
59,0,2,0,1,1,1,0,1,0,1,1
31,0,0,9,0,0,1,0,1,0,1,1
24,0,1,0,1,0,1,0,1,0,1,1
32,0,1,2,0,0,1,1,0,1,0,1
34,0,0,-1,1,0,0,1,0,0,1,1
22,1,1,0,1,0,1,1,0,0,1,1
41,0,1,2,0,0,0,1,0,0,1,1
22,0,0,0,1,1,0,1,0,1,0,1
39,0,2,0,1,1,1,1,0,0,1,1
37,1,6,1,0,1,1,1,0,0,1,1
30,0,1,28,0,0,0,1,0,0,1,1
25,1,0,0,1,0,1,1,0,0,1,1
38,1,0,1,1,1,0,1,0,0,1,1
35,0,0,0,1,1,0,1,0,0,1,1
24,0,0,18,0,1,1,1,0,0,1,1
21,1,1,15,1,1,1,1,0,0,1,1
58,0,1,1,0,0,1,1,0,0,1,1
27,0,1,0,1,1,0,0,1,0,1,1
30,0,7,1,0,1,0,1,0,0,1,0
56,0,3,14,1,1,0,0,1,0,1,1
38,0,1,126,0,1,1,0,1,0,1,1
39,0,1,0,1,1,0,1,0,1,0,1
55,1,0,0,1,0,0,0,1,0,1,1
27,1,6,1,0,1,1,1,0,0,1,1
39,0,0,1,0,0,1,1,0,1,0,1
45,1,12,3,1,0,1,0,1,0,1,0
30,0,11,0,1,1,1,1,0,0,1,0
69,1,0,0,0,0,1,0,1,0,1,1
38,0,0,4,1,0,1,1,0,1,0,1
22,1,1,0,0,0,0,1,0,0,1,1
28,1,10,243,1,0,1,1,0,0,1,1
66,0,0,1,0,1,0,0,1,0,1,1
27,1,1,2,0,0,1,1,0,0,1,1
46,0,13,141,0,1,1,1,0,0,1,1
39,1,21,0,1,0,0,1,0,0,1,0
28,0,0,0,0,0,0,1,0,0,1,1
23,1,4,-1,0,0,1,1,0,0,1,1
46,1,0,0,0,0,1,1,0,0,1,1
20,1,1,6,1,1,0,1,0,0,1,1
25,0,1,13,1,1,1,1,0,1,0,1
43,1,2,5,0,1,1,1,0,0,1,1
36,0,1,0,0,1,1,0,1,1,0,1
36,1,7,2,1,1,0,1,0,1,0,1
21,1,2,1,1,0,0,1,0,0,1,0
40,0,3,1,0,1,0,1,0,0,1,1
24,1,1,-1,1,0,1,0,1,0,1,1
23,1,0,1,0,0,0,1,0,0,1,1
35,0,0,2,0,1,1,1,0,0,1,1
34,0,1,0,0,0,1,1,0,0,1,1
37,0,4,1,1,0,1,1,0,0,1,1
24,1,2,12,1,1,0,0,1,0,1,1
31,1,2,33,0,0,0,0,1,0,1,1
52,0,8,43,1,0,0,1,0,1,0,0
65,0,3,23,0,1,1,1,0,0,1,1
42,1,0,1,0,0,0,1,0,1,0,1
59,0,0,0,1,0,1,0,1,1,0,1
23,0,0,0,0,1,0,0,1,0,1,1
43,0,1,0,0,0,0,1,0,0,1,1
30,0,0,5,0,0,1,1,0,0,1,1
25,1,3,19,0,0,0,1,0,0,1,1
23,0,0,0,0,1,0,0,1,1,0,1
26,0,3,1,1,0,0,0,1,0,1,0
55,0,2,1,0,0,1,1,0,0,1,1
23,1,2,1,0,0,1,1,0,1,0,1
59,0,0,0,0,0,1,1,0,0,1,1
23,1,1,1,1,0,0,1,0,0,1,1
36,1,2,1,0,1,1,0,1,0,1,1
69,1,1,1,1,0,0,1,0,0,1,1
33,0,0,1,0,0,0,0,1,0,1,1
20,0,0,2,1,1,1,1,0,0,1,0
44,0,11,180,0,1,0,0,1,0,1,1
23,1,0,7,0,1,1,1,0,0,1,1
56,0,16,0,1,0,0,1,0,0,1,1
28,1,1,0,0,1,1,0,1,1,0,1
36,0,0,0,0,1,1,1,0,0,1,1
52,0,0,0,0,0,1,0,1,0,1,1
26,1,4,1,1,0,1,1,0,0,1,1
31,1,8,3,1,0,0,0,1,0,1,0
36,1,5,0,0,1,0,1,0,1,0,1
56,1,5,597,1,1,0,1,0,0,1,1
58,0,2,4,0,0,1,1,0,0,1,1
22,1,1,38,1,1,0,1,0,0,1,0
30,1,8,0,1,1,0,0,1,0,1,0
44,0,1,1,1,1,0,1,0,0,1,1
24,1,0,182,1,0,1,1,0,0,1,1
46,1,9,115,1,0,1,1,0,0,1,0
35,0,2,-1,1,1,0,1,0,0,1,1
42,0,0,1,0,0,0,1,0,1,0,1
26,1,2,33,0,1,1,1,0,1,0,1
42,0,1,-1,0,1,1,0,1,0,1,1
35,1,6,1,0,0,0,1,0,0,1,1
23,1,1,7,1,1,1,1,0,0,1,1
31,0,7,1,1,1,0,0,1,0,1,1
24,1,3,-1,0,1,0,1,0,0,1,1
33,1,16,33,1,0,1,0,1,0,1,0
29,1,29,5,1,1,1,1,0,0,1,0
37,0,1,1,0,1,1,1,0,0,1,1
24,0,0,1,0,1,0,0,1,0,1,1
24,1,2,0,1,0,1,0,1,0,1,1
49,1,6,0,1,1,0,0,1,0,1,1
34,0,3,0,0,1,0,0,1,0,1,1
35,0,0,1,1,0,0,1,0,0,1,1
40,1,5,55,1,0,0,1,0,0,1,0
44,0,1,1,0,0,1,0,1,0,1,1
23,1,4,192,1,1,0,1,0,0,1,0
29,1,4,3,0,1,0,1,0,0,1,1
25,1,1,0,1,1,1,0,1,1,0,1
23,0,1,0,1,0,1,1,0,0,1,1
30,0,0,0,0,1,1,0,1,1,0,1
30,1,0,0,1,0,0,0,1,0,1,1
21,1,2,0,0,1,0,1,0,0,1,0
24,0,1,0,0,0,0,0,1,1,0,1
37,1,16,2,1,1,1,1,0,0,1,0
24,0,0,1,0,0,1,1,0,0,1,1
27,1,0,3,1,1,0,0,1,1,0,1
23,0,0,11,0,0,1,1,0,1,0,1
44,1,4,5,0,1,1,1,0,1,0,1
23,1,2,2,1,1,0,0,1,0,1,0
24,0,6,7,0,0,1,1,0,0,1,0
37,0,0,0,0,1,0,0,1,0,1,1
43,1,0,1,0,1,0,1,0,0,1,1
28,1,9,53,1,0,0,1,0,0,1,1
20,1,0,1,0,0,0,1,0,0,1,1
21,1,6,0,1,0,1,1,0,0,1,0
32,0,0,0,1,0,0,1,0,1,0,1
47,0,14,31,1,0,1,0,1,0,1,1
20,1,0,2,1,1,0,1,0,1,0,1
36,1,10,32,1,1,0,1,0,0,1,0
25,0,0,-1,0,1,1,1,0,0,1,1
49,0,1,1,0,1,1,1,0,0,1,1
39,0,2,8,0,0,0,1,0,0,1,1
36,1,11,2,0,1,0,0,1,0,1,1
30,0,5,0,1,0,0,0,1,0,1,1
33,1,4,1,1,0,1,1,0,0,1,1
25,1,4,5,0,0,1,1,0,0,1,1
33,0,1,3,0,0,0,1,0,0,1,1
21,0,0,1,1,0,0,1,0,0,1,1
20,0,1,2,1,1,0,1,0,0,1,1
25,0,0,0,0,0,1,1,0,1,0,1
27,0,2,1,1,0,1,1,0,0,1,1
28,0,2,1,0,1,0,0,1,0,1,1
29,1,6,35,1,0,0,1,0,0,1,0
37,0,18,1,1,0,0,0,1,0,1,0
45,0,0,1,0,1,0,0,1,1,0,1
22,1,1,1,0,1,0,1,0,0,1,1
57,0,3,1,1,0,1,1,0,0,1,1
34,1,9,17,1,0,0,1,0,0,1,0
37,1,23,1,1,0,0,1,0,0,1,0
22,1,3,7,1,0,1,1,0,0,1,1
34,0,1,1,1,0,0,1,0,0,1,1
33,1,14,0,1,0,0,1,0,0,1,0
30,1,2,1,1,0,0,1,0,0,1,1
27,0,1,0,0,1,0,1,0,0,1,1
22,0,0,1,1,1,1,1,0,0,1,1
25,1,14,83,1,1,1,1,0,0,1,0
25,1,2,11,0,1,1,0,1,0,1,1
28,1,5,3,1,1,0,1,0,0,1,1
22,0,2,0,0,0,0,0,1,1,0,1
26,0,7,1,1,0,0,1,0,0,1,1
30,0,4,54,1,0,1,0,1,0,1,0
28,0,11,0,0,0,1,0,1,0,1,1
21,0,1,1,1,1,0,1,0,0,1,0
21,1,0,2,0,0,0,0,1,1,0,1
44,1,2,1,0,1,0,1,0,0,1,1
50,1,0,0,0,0,1,1,0,0,1,1
28,1,11,1,1,0,0,1,0,0,1,0
25,0,0,1,0,1,1,1,0,0,1,1
56,0,24,6,1,1,1,1,0,0,1,0
22,0,0,0,1,1,0,1,0,0,1,1
33,1,3,1,1,1,1,0,1,0,1,1
