"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
21080,2.1818223675775,10.98,90.5494323287625,0.43,0.54542820011576,10.67,23.66,10.9,13.9053800528916,45991,100,22709,64.12,0.348516028816812,34.96,32.7297694067253,11.7642845619943,21.42,29499,13000,15998,10322,6624,29447,8681,3576,19.84,10.68,19.13,13.88,8.8,56.8292896962306,9.09,21.71,19.94,32.24,12.81,39.81,15.86124502286,14.2210115324799,3,67.65,65.1183162501967,63.39,54.17,55.65,64.8383321560345,1204,3.75,435,20.3127836439013,7.59,10.8,21.61,0.43,0.46,0.1,0.2,96.76267731186,0.64,4.05347691289382,2.72457835194499,2.12,2.53789178585168,1.88,61.6705005113222,2.18,62.26,2,723,86.57,42.12,1.8,44.1229688344446,1957,8.47778593362775,0.98,30200,41400,79400,29500,211,230,357,146,376,27,17.6,12.9,0,0,1.53883499973686,81.9055601771362,54.98,89.72,93.41,8.2,2201.1,14.2231580887269,"1","1"
101082,2.56185405242334,25.5438022846379,58.2971458522991,1.95,0.65,13.47,29.11,10.1569586718983,11.5766488020006,56216,0,31491,79.0375341420993,0.46,32.1714431535608,23.83,19.2586161910432,13.27,30813,10458,15492,9953,12836,7251,5156,43747,18.342480174806,10.9861627623392,31.5160107321998,3.72,5.95620867024176,60.543503782327,6.23,22.5566593955015,11.64,24.8880003364726,11.84,35.03,15.33,12.8669890975618,3.08,57.24,61.2744000954491,64.0787250933354,64.587483344314,46.2744710449362,63.980354105349,1965,11.62,811,11.8155206925701,43.2960877838226,55.62,53.5654676696557,6.47,5.40352345332504,1.62,6.81884154490195,88.0321169897914,6.36,7.61372676336129,4.85047212554685,2.45286429119141,3.47,2.0776578277916,32.0962411715835,3.04360999203287,57.5409875318036,3,2672,92.8936323777905,34.7785475096355,5.17,26.235722594019,1957,5.05445418661771,0.27,51400,117001,86540,39700,223,503,471,149,392,28.4178104279408,23.5233321345178,11.7,35,37,9.56279833885221,69.0163992566057,54.0351242824458,82.056343785245,86.6314529730224,187.2,3074.10094029736,1.97895245124586,"0","1"
10960,2.59098092258908,1.46,97.3,0.39,2.45,13.2766327627787,24.72,11.2891134982556,14.7709903881233,0,36.0709938746085,25461,69.4153281916143,2.22261464788656,44.51,34.5,7.65,18.49,30227,11844,11671,9426,8571,0,7676,1013,10.86,7.46697684629975,23.31,12.5912866113692,10.4241450164778,60.93,17.49,21.6786369253912,16.78,23.2,6.92,24.34,10.3291856559707,7.67,3.00178031625925,81.29,77.92,90.54,90.5183178962534,64.91,76.99,65,0.889044960435325,80,0,0,0,11.1543127165323,0,0,0,0.07,97.32,0.34,3.45,2.42,2.49638046013424,2.52,2.3193052276286,84.3730584279316,1.05,37.5832637421407,3,329,92.7719849325856,74.293379969364,1.73,49.86,1948,5.51143575672371,0.32,32100,53496,62600,42000,186,243,292,163,351,21.4908545283911,16.2,11.8850967917126,13,0,0.538490650821477,80.5116935025551,61.019121228143,85.61,97.39,33.3,2102,0.2,"1","1"
18612,2.93,11.17,87.79,0.305606696605683,0.49,13.09,26.08,20.45,15.05,0,0,24266,71.3790357272824,1.09518732967476,38.8293084233999,32.79,11.1613672052324,17.86,30107,12015,10786,6926,12196,6621,10805,897,10.19,9.68,33.47,15.48,4.32463323354721,60.67,30.8159356534233,19.73,12.46,20.520090946878,9.80109228892873,26.28,14.8360074975342,13.2309035076698,2.94280642017722,64.62,70.65,77.17,78.06,75.19,75.1764494889974,370,2.13,574,6.36,2.66,5.5475032051901,23.64,0.0383673317606251,0.116527922948202,0.1,0.230220209161441,96.41,0.65,4.35,2.63769749864936,2.43,2.39,2.16498570669442,66.47,1.67,51.92,2,331,94.96,50.62,3.63,58.31,1946,6.43,0.598514304781954,33014,46236,60000,32982,204,254,267,132,320,24.4902499231199,17.9561431199312,14,0,0,1.1,72.35,48.83,76.8843047412236,93.49,11.7,1028.84467615734,1.84,"1","0"
87492,3.03,66.0736654365249,84.6328853753023,5.29421873731539,1.41087678132579,19.4504085096965,38.5,13.1222335583158,7.44,67162,100,24819,78.8382041343488,0.278452560404937,30.7334203760636,28.5991019333651,13.5759741748,16.7,26999,9114,12273,8306,22573,11567,7997,5071,16.27,9.71,41.4843582962081,26.8844369560108,10.5648816878721,59.1217504619062,17.85,30.6627720683316,15.7158039172242,22.5415578996452,7.24,45.78,16.9179036192223,14.4814733020465,3.41,68.4463196507903,56.55,54.5511701446772,55.8240440013073,57.77,67.5765165910125,478,3.62,1338,13.0215407463908,22.59,27.2113992152115,31.31,0.48,7.19954538743943,5.5585986761873,10.5264942075871,74.439693979981,4.64316949370629,4.98,3.66,2.54427260737245,2.44860295472667,2.22,64.11,4.06900697513173,72.02,2,1980,93.461261901961,55.0367358059622,13.1960998982191,44.05,1985,3.34300790463885,0.6,39400,139024,55600,32700,497,429,522,180,625,24.3279244844491,17.1,13.1,3,347,1.47423035403093,58.07,51.53,88.8469774531946,91.6119889384384,7.88755321558565,3988.5,1.06281610298281,"1","1"
48883,3.01944619969465,5.73,88.7517588808799,0.62,12.4129847719893,10.33,22.36,12.7910723007214,6.13748372524977,38783,100,50475,81.97,0.463113358132541,47.14,17.3529347515618,1.79,14.2250936861942,55349,25537,19010,15342,17990,16455,13643,4087,3.52420304257578,7.41,14.8425533234305,31.47,3.11,76.6229932246699,17.0335506770294,22.0922233391181,9.62516724591609,29.3323075905225,8.08331367189297,30.0343429803631,7.10350140067438,8.93,2.81,85.6992431633182,81.54,88.0103577181379,85.8874901644443,60.2,74.75,313,0.37,5242,12.71,15.0140851580957,65.6313764149578,34.88,2.15,2.19005728184711,4.73,5.69972505982034,81.24,4.54423803409794,7,3.65303187028427,2.89,2.61560376205404,2.47940799819771,74.83,2.87169092270235,46.7862427791572,3,4738,97.2231021956665,80,1.04171246745391,38.2761044588437,1965,0.3275732810935,0.14,178098,73453,259032,90500,756,802,687,126,693,27.4,23.3,11.8293162463776,1,0,17.2,41.58,65.23,72.76,86.6,18.1,2368.28423833884,1.61970366673777,"1","0"
11982,2.81,0.332945383430148,96.2458829315465,1.90053960268153,0.89,10.33,24.59,11.7747571297099,5.56519455686755,16909,100,44690,79.8826539367173,0.382594121629372,49.5218090973981,31.1,2.78958743958967,18.09,40534,22654,17955,17055,10519,6542,12273,221,1.58,7.31973778046047,9.54,37.2028516407715,6.55229432194028,67.52,30.5661407020851,22.81,9.87420488887932,45.6963587376786,6.12486963115632,23.9057110730295,9.41,9.38425485956482,3.28,89.4658282055054,83.8239663897144,93.5125902785982,81.4776907724608,60.9047302799796,75.7430247181957,113,0.71,478,20.42,8.54663688853616,25.1,30.46,0.26,0.6,0.27,0.53,86.6235263829352,0.69,3.46212199757419,3.71,2.86,2.62807442279222,2.39,88.576990754803,0.98,32.67,3,108,97.1871867857315,61.1597869385313,0,45.1175067787765,1972,0.12,0.13,189214,300962,207700,60483,571,349,698,354,560,30.6,17.9726952023959,13.1,0,0,2.62167973142893,71.02,47.2662551311652,79.6823261162615,80.0391783681295,6.85783118575346,507.3,1.80944414538797,"1","0"
22787,3.02,0.78,83.9956948209562,2.45469996947174,1.09852605880704,14.01,19.79,10.8705594918566,6.89,26609,100,49734,83.4005867618881,0.298514117063023,52.5805871945526,19.37,3.784011413098,17.26,58773,19096,18383,14685,9238,16546,19742,610,3.36,2.72296418571845,9.47390675566159,27.320884359742,3.84549187210078,63.6519231238162,22.6467229178501,23.79,9.39559125692972,36.89,3.46526981817093,22.5680164589873,7.23493293694221,6.59,3.12650402895253,86.31,85.53,91.28,86.15,54.53,62.3890561886132,143,0.53,598,13.5786208926886,10.3699938069532,14.6661671991926,30.2240923028858,0.217160191390042,0.408899986247997,1.22324911604635,2.40799520700239,95.7,1.26229628269328,3.76,2.76431849133534,2.95969213106669,2.68,2.24,74.6040977306617,0.78,40.14,3,72,95.7045106792233,75.4570994723092,0.97,36.6548193090533,1958,0.999111883777659,0.461414411999285,163212,97300,151359,41301,414,650,751,534,505,28.2770488395666,19.6651365710578,13.3,5,0,10.7017491276593,34.33,66.94,78.7,91.96,23.3778782791458,841.582084878037,0.785511294053868,"1","0"
24398,2.45,45.63,89.25,0.38,47.3878751303628,13.14,30.11,12.8489236188121,8.32,54789,100,28237,72.68,0.33,13.16,38.58,15.0834912409711,14.09,35327,12853,11437,10826,6282,9364,5287,8604,16.3947349097921,16.7,31.857652453358,12.6687118090068,10.85,50.6369392985129,20.6809153184333,23.08,27.265867013284,15.7697879898308,11.72,31.98,16.97,14.5530498511779,3.21,56.4801354136504,70.78,66.9199676972209,54.33,64.81,74.84,1627,5.99,5647,15.2418762772918,20.31,22.89,42.5092830390018,0.32,0.52,0.19,4.55,95.2852720487933,1.46039918713504,12.5901782609988,2.69241385850357,2.43,2.67,3.09109784255037,44.956240529567,8.59119277028522,45.19,2,455,93.6067067864677,30.6504331325041,2.25897000056691,46.4838484832699,1962,12.69,0.4,40863,63171,84200,39500,152,277,373,157,507,26.9,22.3,14.3,16,29,36.1619920560904,83.1373205421291,59.55,81.1082696457324,91.92,10.7188742624829,6827.67738434707,3.01226057060994,"1","0"
10478,2.52254522898545,30.1431836151339,53.9624807402802,0.55,5.37,16.0549365469487,30.5635093766854,14.0759847876639,10.5379336252172,40117,100,23681,79.4118292254295,0.45,29.18,19.83,15.7935628712488,11.3317160875971,28217,16373,15035,9112,23606,11597,7743,3268,19.3016250283209,11.2574543652652,22.7542010278814,10.9463776139496,7.37,60.0791176288575,23.3956122404298,20.99,13.3097344179203,21.71,10,28.9194823845041,19.03,15.04,3.06,67.5464441120904,68.69,69.31,79.21,46.6241159040108,74.13,499,3.86,344,10.4329877883491,39.0615571297077,33.53,26.9609991817021,0.97,7.06,10.6652187037235,0.317750433132363,69.8481471392466,0.5,13.9787808704237,5.99765657197917,2.49,2.48,2.59,55.86,6.29,49.34,2,5297,89.00554568271,65.7094116036757,2.28,14.9094756522402,1956,2.37796656547502,0.28,267500,147200,64800,72614,348,177,290,167,383,27.1,18.729554400368,11.9,79,80,9.99213156528305,82.3810688407277,45.86,72.0120272216581,74.08,20.6816807232332,2467.98239113774,27.8,"1","0"
