"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
258206,4.32078419107944,47.33,62.7,22.6960511568313,59.7800416142123,10.87,28.4132943299102,12.37,20.9212764753867,63266,100,17218,75.21,1.18803920059465,44.6533752672468,24.4104024215695,19.05,14.79,27662,14778,13045,6533,9022,10842,12776,4582,14.3659382081358,12.62,33.2809903539531,40.4334981959376,5.66838022654876,74.15,9.47242395771667,28.52,15.82,38.2696175362216,10.552431912981,41.8810165628822,16.4308539349074,17.31,2.88,58.06,53.9829009493347,44.5183084588638,67.55,61.3826760110135,60.06,2322,5.62836771467235,22712,24.7130385904107,24.3386420308736,30.86,19.4082829948794,1.84656196963663,2.61,25.34,4.60805736250244,92.5268351706117,0.38,11.94,1.76681619302059,2.37,2.56,2.34516834397024,44.42,2.35056983284652,48.3078075212985,3,3191,95.0675781758378,56.5574686216811,4.5,70.85,1963,9.07745593630243,0.352316266403844,68717,83126,188717,47595,296,781,415,333,688,28.6,17.8416163651894,15.2,88,2,7.72189636609051,30.88,50.2412364751846,68.4517810911359,90.29,39.0749631819626,1837.3,3.35873121171259,"0","1"
164730,2.91,3.15613637059539,86.85,0.612863015026475,12.1718333113007,17.6365331944544,39.4053524302458,11.8860956591616,5.96,32182,100,22697,84.3515801964203,1.1,35.5996591969067,21.2152710174055,13.19,16.8520833664387,43209,13482,13829,8854,12890,13008,6812,25484,13.61,4.84619198069908,31.47,35.0350574604895,6.0510844117403,65.29,20.5921534949293,32.4439061229707,15.6154176908196,24.8727126315236,9.68,35.3420483169006,11.7581359551777,12.3374783262401,3.58207286840382,76.64069589821,69.6725368142617,76.1042647010398,77.1729013613518,48.1495609783956,66.935311360346,1309,2.62,18924,13.1904160087509,27.0731086663436,38.353389601158,26.64,1.97,2.8,3.05,5.11904602482915,81.47,1.62,7.68419558341848,4.71967860406265,2.33,3.06508556469344,2.72571773923934,45.4958799795931,23.41,67.7081661690911,2,7223,95.82,72.96,1.76609945900738,31.5804887685591,1965,3.22907415634021,0.09,114400,136773,166309,45143,364,311,494,225,755,24.9,28.7,11.5,5,163,8.29,57.5,30.4635654030895,83.89,88.83,31.4078758710374,8434.04077889825,0.915624123215675,"1","0"
11795,2.65425912600011,0.32,97.8346717024059,0.390339130363427,0.782441723272205,12.43,25.72,9.90685902880272,12.8213889567244,16462,100,44167,78.42,1.63628531007251,57.9370045480551,26.8998561037083,7.58,21.07,41696,10815,13670,9900,6615,22771,9592,1477,10.52,7.45536370081206,17.385853253752,12.4585467057675,3.38498501033057,60.2412795977473,24.0162291953232,15.9172010103613,15.3670649144799,23.3600395057723,9.51,28.4603810597211,12.33,7.98,3.15,84.0947155302623,80.2753192367405,91.06,88.55,70,73.78,160,1.16832205234095,678,3.36729215060827,11.47,0,16.1602996128456,0,0.36,0.278094999974904,0.43,92.78,0.463405463271774,3.64,2.76,2.62976358394294,2.79,2.05,65.09,1.60363340310132,21.69,3,131,94.48,67.5793435081902,0.16,33.92,1964,2.51,1.03,75317,151119,86934,31800,141,397,494,168,492,26.5,16,14.8429880437286,22,0,3.3,83.61,63.270390397273,81.0164088787697,94.48,10.6,3895.69134142793,0.780549962744893,"1","1"
20847,2.80087319987205,11.49,77.75,0.657181559897338,1.99834104372654,12.28,22.94,10.34,15.89,5775,100,30524,90.8441870123637,1.04,40.87,33.83,4.19,14.5183077599737,53857,18102,17260,10452,15705,16258,10668,1034,4.23,1.9,12.3553716739523,25.55,7.94,74.76,14.2081165201077,29.32,10.22,31.022146252417,13.11,38.1,12.6752962181997,11.15,3.02,79.63,80.04,90.8740423420196,76.11,66.4387620924227,76.29,124,6.51,273,6.6,18.32,25.99,32.57,0.38,1.07569380221423,1.07317609465215,1.31,91.46,1.48,4.05,3,2.52965660907639,2.62,2.69,80.86,2.73,34.85,3,204,94.1581040450791,62.06,0,21.6210211815615,1972,0.64,0.09,70100,240900,133300,96700,454,543,633,190,540,23.5,21.4,12.4770963767543,0,0,8.3,55.54,50.92,59.44,85.53,67.5438051501909,2151.6,2.36,"0","0"
857388,2.53915481855161,36.9723746409795,31.63,4.25074710302055,2.78277004399647,15.6480140478319,31.0074202653021,10.0081109668377,13.11,55419,100,31790,68.9508774008229,1.13,25.2829328970984,31.2930477072174,16.8651047089137,17.7153208816983,27757,11310,15741,6841,15283,10673,7853,1897,20.5901989990007,16.88,27.75,19.94,6.23224562014453,59.19,10.43,21.6782384976869,16.5928363607327,23.8,14.9403876942955,41.4847022794001,16.68,16.0747392818425,2.99,65.1947019943843,52.34,58.6565642980797,63.7022644161992,55.69,67.9238001506527,824,3.75,1033,18.3165920160928,20.0442940184847,45.5474763169512,56.44,0.13,2.53313983290456,0.68,3.49,82.17,0.65,9.13,3.06646691974252,2.69,2.43,2.1,63.7643103176914,6.08,51.5154213725279,2,1811,95.96,41.7088092219457,2.05,26.3638195642953,1969,5.74,0.38,33900,49700,51475,33364,367,395,425,166,300,26.4194576294472,24.3,13.9743112762459,21,8,0.507965606162325,55.8539826204535,64.5992431984935,91.36,90.29,150.730521589145,1900.7,24.89,"0","0"
15686,2.35,5.0221701728118,91.6092423884136,1.26,5.79087444743142,14.1539607356675,24.72,13.023252061264,8.98525015872593,0,0,32457,75.42,1.09777678099771,42.0403364917015,21.3658911837389,6.43,15.33,35000,15443,13590,16275,12726,6399,9120,6214,9.54,14.8714569785073,31.84,14.84,5.21573311164354,61.1281049208591,34.81,19.6909995287222,15.5482727394005,21.27,10.9881164956279,33.9042791323736,12.21,11.6,2.92,67.0516673063859,68.45,82.01,77.94,59.3671350895613,76.8983127763805,358,1.22,450,13.1431001685684,20.2542751783567,27.4859271624125,30.46,0.0762580190598964,0.302882914207876,0,0.127200858245293,96.5,0.44,3.38,3.73,2.40593465190381,2.81,2.08,54.93,2.27,37.2711498065045,3,898,88.47,50.62,4.42,63.46,1953,3.51,0.72,26633,56447,69684,31778,188,250,356,122,323,27.3,19.3794680284957,12.6645661298186,8,0,0.481184811890125,72.6446600792433,58.4508704616129,77.45,93.9,15.6,1578.43866668244,4.62978773946563,"1","0"
92788,2.36,18.172379802467,81.5850066771979,0.51,10.54,21.22,26.0377059585353,12.2272322768345,5.01807983479152,269157,100,24075,85.4006738302733,0.52,25.7088116778045,22.98,11.4993875945173,14.23,25741,13741,10382,11167,11130,9594,8415,4304,22.5319201963209,10.0612572879903,26.9481461098014,16.2,4.61595694206655,59.5177909683312,14.2880405667331,17.73,16.99,19.0534276045626,12.11,38.345415724044,15.92,15.6872235192871,3.44603127930624,48.0562433494193,66.1803225347058,76.6807475994419,75.6,66.0652475776399,70.2543964975063,1618,9.83281512470451,27051,24.67,32.5197309515703,43.7383290106477,60.8562319078234,1.7,2.61,1.57507501563057,29.8346135800519,88.8434174329974,0.871427093899498,2.98103316945024,4.09839080333399,2.52,2.75,2.67873254852059,55.1,13.4315509757539,79.560270938791,3,5857,96.7869365828547,58.3879530848625,0.635721894738575,38.9214221942332,1971,5.96,0.824150741458872,71400,38900,72795,49904,469,631,384,145,392,28.7,16.1777658085494,16.5,7,0,1.51,71.35,56.29,83.7018784669476,84.39,36.1,6422.45824349535,4.88,"1","0"
30544,2.71,13.64,77.61,1.86,4.4094394872485,13.54,26.4,13.44,6.24625454554334,20390,0,50234,89.6343851269269,1.06,60.5047812329186,31.68,1.70802546918315,7.30671762781683,59509,21407,18626,9927,22499,28987,29617,3259,4.01,7.82,22.15,48.8713663673913,3.59,67.33,13.1136214532703,19.55,6.01,34.38,7.98343551435275,27.4685494581959,7.81,10.5873673315905,2.99,82.4867691090563,83.32,88.982485970268,79.59,63.2496751151327,73.1758631171333,204,1.16,179,0,14.0253632115511,37.49,45.98,0.183662865292281,2.62837137420972,4.28035043676151,1.69706012440535,79.26,2.15550825833809,4.33961778888712,4.79,2.78,2.99635229761169,2.47051387076344,85.7271248056119,0.944213336718579,28.1148492005072,3,823,96.7214008838559,66.4964684418961,0.53,43.8612137515563,1974,2.57502608212332,0.27,78800,95700,133781,29000,433,668,642,174,577,23.5,21.9892913429998,11.3,0,0,2.72284410449599,39.18,70.79,72.2692424515216,88.75,19.8356855291873,2081.4,2.95985383307561,"1","0"
87992,2.81,27.19,58.22,0.92,25.5395746782127,16.11,23.5,13.8515277221845,10.8,20125,100,30956,70.31,1.19,37.57,29.27,6.18,19.7195249812538,34000,9444,17551,8465,12940,10788,8720,7823,17.08,14.03,35.87,16.3429201522283,12.3848505746798,62.12,12.2484143346664,27.6551952491763,18.73,23.4058732112241,14.85,38.120780206547,13.7424976278733,12.1632121007928,3.53881796249654,40.4846441384242,45.9463131243115,54.6735064656683,56.540252108525,61.2499415391008,68.1345813673083,814,5.84367736235261,1773,11.6222349448564,21.5299429384526,27.3674060048807,36.21,5.21,0.07,5.05,2.84104963491671,74.85,3.17,10.5,5.11,2.37369050532191,2.88,2.31,61.99,8.07,48.1737499190005,3,1945,95.06,56.8513244131673,6.19600723630438,37.7252555956692,1959,3.87112077393103,0.38,32800,96200,316600,44067,519,308,932,157,244,29.4880754705907,22.2,13.5,6,8,4.84189679677599,49.911577198805,54.77,78.54,93.2285752642217,14.6,1787.73690040439,3.82,"0","0"
10087,3.04108910812996,0.37,99.04,1,0.64,13.86,29.94,12.3727744572128,17.0596895943784,0,100,46444,89.3496889055055,0.98,42.7967479146551,18.8146014859869,2.4469538446671,8.19390252254127,60926,15366,14395,23621,29624,16449,33031,369,2.3,2.04,11.6182641693391,15.8769732290196,3.59,65.7616078742236,14.41,27.0794140691233,5.83818864732981,55.5705714026326,4.93595934972167,36.0079649254679,6.95,5.69115920243785,3.12,84.5259541825391,86.7846515340544,93.22,86.43,51.9217577255579,71.5967094474534,110,0.237313260044902,913,9.02,10.3052511782432,18.26,24.8234813072532,1.09534679688824,0.539298312310129,0.128636070603194,1.60180243102834,96.55,0,4.45,3.22,2.55,2.95,2.27,91.26,0.910201201448217,24.7222285238234,3,112,96.48173173067,64.98,3.89,38.32,1965,2.52112090990258,0.26,204700,133988,98994,71905,202,481,791,156,570,24.1,19.7374806186339,13.5,2,0,4.49,60.6599186248239,73.39,89.2944307129271,94.6491855562168,3.55119056655094,1815.89147861209,0.97725864876993,"0","1"
