population numeric,householdsize numeric,racepctblack numeric,racePctWhite numeric,racePctAsian numeric,racePctHisp numeric,agePct12t21 numeric,agePct12t29 numeric,agePct16t24 numeric,agePct65up numeric,numbUrban numeric,pctUrban numeric,medIncome numeric,pctWWage numeric,pctWFarmSelf numeric,pctWInvInc numeric,pctWSocSec numeric,pctWPubAsst numeric,pctWRetire numeric,medFamInc numeric,perCapInc numeric,whitePerCap numeric,blackPerCap numeric,indianPerCap numeric,AsianPerCap numeric,HispPerCap numeric,NumUnderPov numeric,PctPopUnderPov numeric,PctLess9thGrade numeric,PctNotHSGrad numeric,PctBSorMore numeric,PctUnemployed numeric,PctEmploy numeric,PctEmplManu numeric,PctEmplProfServ numeric,PctOccupManu numeric,PctOccupMgmtProf numeric,MalePctDivorce numeric,MalePctNevMarr numeric,FemalePctDiv numeric,TotalPctDiv numeric,PersPerFam numeric,PctFam2Par numeric,PctKids2Par numeric,PctYoungKids2Par numeric,PctTeen2Par numeric,PctWorkMomYoungKids numeric,PctWorkMom numeric,NumIlleg numeric,PctIlleg numeric,NumImmig numeric,PctImmigRecent numeric,PctImmigRec5 numeric,PctImmigRec8 numeric,PctImmigRec10 numeric,PctRecentImmig numeric,PctRecImmig5 numeric,PctRecImmig8 numeric,PctRecImmig10 numeric,PctSpeakEnglOnly numeric,PctNotSpeakEnglWell numeric,PctLargHouseFam numeric,PctLargHouseOccup numeric,PersPerOccupHous numeric,PersPerOwnOccHous numeric,PersPerRentOccHous numeric,PctPersOwnOccup numeric,PctPersDenseHous numeric,PctHousLess3BR numeric,MedNumBR numeric,HousVacant numeric,PctHousOccup numeric,PctHousOwnOcc numeric,PctVacantBoarded numeric,PctVacMore6Mos numeric,MedYrHousBuilt numeric,PctHousNoPhone numeric,PctWOFullPlumb numeric,OwnOccLowQuart numeric,OwnOccMedVal numeric,OwnOccHiQuart numeric,RentLowQ numeric,RentMedian numeric,RentHighQ numeric,MedRent numeric,MedRentPctHousInc numeric,MedOwnCostPctInc numeric,MedOwnCostPctIncNoMtg numeric,NumInShelters numeric,NumStreet numeric,PctForeignBorn numeric,PctBornSameState numeric,PctSameHouse85 numeric,PctSameCity85 numeric,PctSameState85 numeric,LemasSwornFT numeric,LemasSwFTPerPop numeric,PctUsePubTrans numeric,PolicCars numeric,PolicOperBudg numeric,unrelated_column_one,unrelated_column_two,response
14196,2.47,0.13,98.56,0.56,1.18,12.78,23.99,10.58,16.19,0,0.0,25976,76.12,0.79,54.64,33.19,6.03,17.0,31490,12216,12241,39923,14461,10497,4390,993,7.18,12.31,23.96,14.68,4.22,62.42,30.14,21.61,25.14,18.21,8.48,24.75,10.64,9.65,3.02,78.36,77.74,85.09,81.38,73.07,76.65,216,1.68,149,8.72,8.72,13.42,21.48,0.09,0.09,0.14,0.23,96.46,0.3,3.28,2.19,2.42,2.66,2.02,69.42,1.1,41.74,3,246,95.9,63.28,0.0,31.71,1947,1.69,0.43,39700,49800,65300,25600,236,304,378,142,387,23.5,20.8,15.1,5,0,1.05,85.26,54.6,84.95,94.4,4.9,2880.2,0.15,1,0,1
10809,2.82,5.39,67.49,0.16,45.71,15.38,25.45,11.08,14.65,0,0.0,17811,66.35,6.32,31.55,35.74,11.19,8.67,20853,9089,11649,2658,25000,0,3966,3522,32.97,28.2,48.48,8.07,11.51,47.93,4.94,21.51,17.38,17.19,7.58,22.62,10.0,8.86,3.36,79.32,72.72,85.77,76.51,38.12,46.82,263,2.41,339,2.65,8.55,8.55,23.6,0.08,0.27,0.27,0.74,56.84,6.74,9.85,7.31,2.8,2.74,2.98,75.5,10.79,45.59,3,511,88.22,77.04,3.33,57.53,1958,18.97,2.26,17200,33900,53700,36500,153,211,273,120,306,30.0,18.3,13.5,0,0,3.14,87.02,63.39,87.1,97.0,4.8,2242.5,0.0,1,1,0
76459,2.63,6.72,69.91,19.25,9.09,12.98,29.22,15.31,10.55,76459,100.0,38122,79.87,0.6,50.91,20.86,5.98,17.14,44687,19833,22162,12610,20871,15217,12964,4662,6.81,4.09,11.89,31.26,3.53,71.08,11.28,24.91,8.92,36.28,10.82,37.72,16.09,13.3,3.02,71.07,70.29,84.95,71.5,67.08,71.77,1219,2.84,13172,12.97,21.36,33.04,41.02,2.23,3.68,5.69,7.07,77.04,3.41,4.78,2.91,2.36,2.46,2.28,48.16,6.39,63.06,2,1442,95.28,46.28,0.69,17.41,1955,1.41,0.41,209800,267600,356200,146400,517,632,747,230,676,27.0,26.1,11.3,35,0,17.23,41.47,40.05,64.3,77.54,11.1,6865.9,14.46,0,1,0
11305,2.83,26.32,73.22,0.12,0.78,14.98,25.7,11.62,13.68,0,0.0,16853,64.89,1.85,26.56,35.71,13.89,12.92,19341,8145,9310,4946,0,0,10736,3604,32.89,21.67,41.04,9.98,12.87,42.59,12.52,22.32,20.23,19.83,8.96,26.5,12.96,11.15,3.27,67.21,61.49,73.55,69.17,43.16,53.96,352,3.23,66,0.0,0.0,10.61,10.61,0.0,0.0,0.06,0.06,79.97,1.12,7.76,5.78,2.74,2.69,2.86,66.24,5.05,40.92,3,476,89.36,67.57,6.51,57.77,1961,11.45,0.13,27900,42300,59900,32000,105,165,244,139,260,28.0,20.4,15.7,0,0,0.58,88.74,60.5,87.17,96.91,10.6,1070.5,0.36,0,1,0
21174,2.21,1.09,97.64,0.4,1.4,9.31,18.83,9.04,27.51,21051,99.32,27222,59.82,0.46,48.95,47.46,6.95,31.07,33282,15042,15241,4386,9932,6874,7391,1994,9.5,2.59,14.01,22.48,7.93,48.64,6.79,20.72,10.01,24.17,7.59,24.4,11.64,9.84,2.69,65.23,66.79,73.51,65.78,57.34,69.24,328,1.81,1100,14.18,17.73,21.27,24.91,0.74,0.92,1.11,1.29,92.08,0.6,2.57,1.68,2.19,2.17,2.22,72.67,1.09,52.43,2,6319,60.29,73.11,0.22,57.9,1970,1.07,0.09,127300,149400,184300,57000,428,598,683,255,716,33.4,24.3,14.3,12,0,5.19,68.43,53.71,79.49,89.32,25.1,842.7,0.84,1,1,0
101082,2.4,20.65,75.51,2.3,3.15,17.82,35.77,22.08,13.02,101082,100.0,25152,76.33,0.31,44.7,26.97,8.17,16.94,34493,13742,15401,8768,7382,8711,8517,16903,18.31,8.95,22.28,29.51,6.09,59.16,5.1,34.72,7.91,32.54,9.75,51.97,11.68,10.8,2.94,53.15,49.59,59.38,54.73,65.36,73.44,5658,8.96,7785,16.65,22.59,32.7,38.06,1.28,1.74,2.52,2.93,88.37,1.28,4.47,2.25,2.17,2.43,2.01,42.85,2.21,54.67,2,4078,91.17,38.3,10.4,47.72,1939,6.74,0.46,80500,101800,132700,52200,301,388,477,176,456,26.9,19.7,13.0,395,10,7.7,76.27,44.01,72.02,92.83,22.2,4557.8,15.02,0,0,0
61815,2.7,6.27,69.77,10.09,23.9,12.77,28.98,13.71,9.83,61815,100.0,32711,81.27,0.25,30.9,21.6,9.27,12.98,37026,14304,15614,12758,13154,12707,9665,5862,9.62,8.95,27.66,11.97,5.88,64.54,23.63,18.07,17.31,20.36,13.81,32.19,17.89,15.91,3.21,66.62,63.25,76.54,71.24,57.89,66.57,2273,5.16,11741,21.8,34.01,42.25,53.34,4.14,6.46,8.02,10.13,71.6,6.54,7.5,5.15,2.67,2.72,2.63,40.38,14.08,71.3,2,1212,94.97,39.56,1.57,14.69,1961,3.5,0.71,160100,195200,240600,80500,477,581,702,225,630,27.5,25.0,10.7,0,0,18.99,49.71,41.27,82.98,88.15,6.3,9811.9,2.49,1,1,0
31287,2.71,11.07,80.05,6.81,5.81,13.41,29.96,14.37,8.64,31287,100.0,49900,87.07,0.56,53.16,20.78,3.06,12.25,57156,21734,22709,16857,15970,21284,14576,786,2.67,6.11,16.13,32.71,3.08,70.47,19.2,22.93,11.37,33.94,7.57,34.89,10.25,8.91,3.04,81.65,79.76,91.14,86.01,67.83,74.43,478,2.71,4686,15.39,26.12,35.02,42.77,2.3,3.91,5.24,6.41,79.26,3.33,3.43,2.48,2.55,2.77,2.16,69.98,2.88,55.58,2,631,94.82,64.55,1.11,29.32,1975,0.62,0.12,142900,179800,235100,92200,558,662,807,249,735,24.9,23.1,15.4,8,0,14.98,54.61,48.19,73.61,84.95,12.5,2508.1,8.09,0,1,1
14507,2.32,0.23,98.62,1.03,0.48,11.0,21.0,9.89,21.69,14507,100.0,25482,66.73,0.49,51.23,40.45,4.92,18.71,33315,15356,15381,471,0,21299,10741,1285,9.08,8.2,20.25,23.29,4.06,54.41,14.99,30.8,11.38,30.8,7.75,28.09,9.27,8.61,2.99,78.77,78.0,92.85,85.14,56.49,64.1,92,0.79,368,8.15,12.5,12.5,29.62,0.21,0.32,0.32,0.75,93.38,0.67,3.5,2.17,2.27,2.55,1.9,63.14,0.7,37.67,3,317,95.18,56.05,0.95,43.53,1939,1.73,0.24,49700,70100,98200,48500,217,296,384,167,373,25.0,18.5,14.4,0,0,2.54,84.57,67.2,90.25,94.49,2.2,6527.6,1.72,1,0,1
47828,2.93,1.12,88.49,5.62,15.16,14.02,25.49,11.98,9.42,47828,100.0,46116,82.93,0.88,45.18,20.63,5.34,14.14,51444,18573,19088,15411,17418,15583,13904,2328,4.96,4.47,16.32,22.16,4.3,66.23,19.34,23.0,9.71,31.12,8.77,27.92,12.44,10.68,3.27,80.92,77.73,89.54,80.24,57.53,67.03,596,1.66,5987,11.44,17.86,27.21,34.81,1.43,2.24,3.41,4.36,81.86,2.4,6.66,5.18,2.88,2.96,2.65,76.01,5.65,31.89,3,549,96.75,73.94,0.55,22.95,1962,0.99,0.14,183000,231600,311700,128700,535,657,837,302,729,27.8,24.2,11.7,0,0,12.52,54.26,54.46,90.04,94.32,20.2,2371.5,1.39,1,0,1
