"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
27827,2.48731970916347,39.57,98.56,0.56,1.25194430657352,13.35,26.5712240775737,10.58,16.19,0,0,19474,71.77,0.28,54.64,40.26,6.03,17,28218,12216,12241,6420,14461,1429,4390,5003,7.18,12.31,34.2028926718157,9.43211117497024,9.33614503826946,62.42,6.54013692608103,20.86,25.14,28.52,8.48,29.48,13.99,13.6149871249807,3.11,78.36,77.74,83.84,68.7,73.07,76.65,216,5.94181394763291,149,1.88,8.72,23.38,78.7502926614073,0.09,0.09,0.14,0.26,96.46,0.3,3.28,3.11,2.93833978776199,2.95534819164313,2.02,64.0504207373022,1.1,41.74,3,246,94.53,52.5595127719703,0,30.6231088088406,1967,1.69,0.4,34339,49800,65300,25600,297,383,378,238,387,23.5,19.8153797072358,12.4,5,3,12.1,85.26,58.7975168188273,74.3954124835289,94.4,14.9445293094187,1919.6,0.15,"1","0"
10809,2.82,0.07,67.49,0.282641371153295,0.66,20.79,25.45,50.4187829448344,14.65,29311,100,17811,66.35,2.48761956346687,31.55,18.9,4.63828190791653,14.4142630616948,51782,8462,11649,0,0,0,3966,4153,32.97,28.2,48.48,20.05,11.51,59.0594996489165,4.94,30.6827511357485,7.29292221971322,17.19,7.58,30.5919319602017,10.7063623510969,4.50925901514866,3.03551466947732,79.0500217344891,72.72,86.6697177961966,76.51,73.5343914090376,71.9,181,1.45981941686012,2639,5.92370997822533,8.55,8.55,25.0920681186346,0.08,0.191771991518326,0.27,3.90018899712867,56.84,0.663586015234857,9.85,21.0892020117864,2.8,2.35,2.08398827918495,75.5,1.54759608984226,45.59,3,511,88.22,77.04,0.28,24.4,1981,2.82,2.26,17200,33900,81409,36500,153,279,335,132,384,30,24.1,13.5,0,0,0.868691394993414,58.6227323619346,61.13,92.44,80.46,9.30392079744488,2242.5,0,"1","1"
22169,2.62,6.72,75.77,19.25,1.76,12.98,27.35,15.31,12.56,76459,100,19098,79.87,0.6,30.2667750816047,20.86,5.98,17.14,44687,19833,14695,6098,20871,15217,7316,5235,6.81,17.5001375941172,11.89,31.26,3.53,55.93,11.28,19.15,8.92,28.3,10.82,37.72,16.09,15.1811072420748,3.07701400201768,71.07,56.7956880566757,84.95,62.31,67.08,71.77,1219,2.84,498,2.97,5.64,13.95,41.02,2.23,0.0572488053950171,5.69,7.07,77.04,3.41,4.1,2.91,2.51330809421372,2.64,2.32,48.16,3.81,63.06,2,816,95.28,56.42,7.68,17.41,1966,10.14,0.41,209800,267600,356200,146400,207,632,747,230,676,26.963549925092,26.1,11.3,0,0,0.98,67.64,40.05,64.3,77.54,19.7596880884608,6865.9,0,"0","1"
61930,2.83,11.6503851167299,78.9138731070608,0.12,1.44542315158993,14.98,28.4964636666514,13.86,12.3550400101766,221653,0,32150,64.89,1.85,26.56,35.71,7.21,12.92,19341,16259,9310,4946,0,8910,10736,2112,32.89,21.67,41.04,9.98,3.32194591682404,42.59,12.52,24.0151145936269,7.28287171636708,41.18,8.96,26.5,12.96,13.54,3.05625095444731,67.21,67.2002965598305,73.55,69.17,43.16,73.023276117576,681,3.71670415220937,7151,14.47,29.09,10.61,41.6308198974188,2.3,2.06295803070379,5.56891551828943,14.04,79.97,1.12,6.60004953495692,3.93178547135554,2.89109436622821,2.23744699276052,2.86,61.39,5.05,40.92,3,476,94.926807768944,67.57,0.8,57.77,1961,0.711396277455303,0.13,27900,81000,311842,89380,105,794,244,139,260,28.3261004325934,20.4,15.7,0,0,0.58,22.05,60.5,87.17,96.91,10.6,774.480338255362,0.36,"0","1"
21174,2.73,13.68,90.5413122473517,0.4,0.849260327583179,14.9,35.2,9.04,10.43,21051,99.32,25508,76.7,0.46,48.95,47.46,4.47,15.487231197226,39418,15042,15241,8219,9932,16412,7391,1013,15.49,7.24355971619797,25.1347635886213,22.48,6.3368718046726,48.64,6.79,20.72,10.01,24.17,10.73,32.1773401171248,15.58,13.6414951897032,3.17,66.5217966157384,66.47,82.72,67.42,57.34,73.97,328,1.81,214,14.18,17.73,20.2501011935932,24.7509016346675,0.74,0.28146638444004,1.11,1.29,96.28,0.6,2.57,1.68,2.63193966103562,2.73,2.22,72.67,1.33,49.99,3,6319,60.29,43.76,1.62242959414143,25.95,1974,1.07,0,55892,149400,118600,57000,263,312,683,177,716,25.6,24.3,14.3,18,0,5.19,71.3851739029718,53.71,84.0251280810016,90.8280445038388,25.1,842.7,0.76,"1","0"
101082,2.4,8.68926439024508,23.8792084489367,2.3,3.15,17.82,34.4315042076819,22.08,13.02,101082,100,19433,83.59,0.863094495509286,28.63,30.8485528865224,10.01,13.8956557953125,25699,13742,11009,11228,11250,8711,8517,16903,18.31,8.95,41.24,29.51,9.15007376362104,56.69,12.24,26.8,7.91,15.3724166111027,15.8078549819603,37.26,14.76,10.8,3.04,54.36,49.59,59.38,59.56,47.64,73.44,5658,8.96,7785,10.3090255054211,22.59,32.7,49.52,0.384284467057636,1.74,2.52,2.93,88.37,4.82,31.65,2.79893532238901,2.17,2.49,2.34,60.2154894239153,2.21,54.67,2,4078,91.17,38.3,10.4,19.8009519778068,1939,6.74,1.78618713446738,40345,101800,132700,35500,301,388,679,176,407,26.9,19.7,12.8078436238769,723,10,2.88148649502546,76.27,42.6516795751515,62.9726026156196,83.16,39.362004547023,4557.8,2.29,"0","0"
11997,2.7,10.02,69.77,10.09,23.9,12.77,28.98,13.71,11.4959245907865,61815,100,32711,79.122531491355,1.20087612278604,30.9,28.43,4.81263088000861,12.98,37026,15711,14490,8070,13154,12707,3746,5862,9.37273245542077,8.95,27.66,11.97,5.44428007476342,64.54,23.63,24.6910878918623,17.31,26.1624669693162,13.81,28.04,15.2437009943556,15.91,3.21,66.62,51.8,76.54,71.24,57.5762962689623,77.93,2273,4.73467828988098,11741,15.1908339766747,33.4892958134545,27.35,56.7838470439085,4.14,0.636372555640216,1.66,10.13,71.6,0.806092477050454,7.5,2.5677218497498,2.42,2.32649479790591,2.63,63.12,2.32462813319173,48.5044567329887,3,894,96.34,39.56,2.56,19.91,1961,6.79,0.152519502290525,24500,64666,240600,40604,127,581,406,225,630,21.4,25,10.7,0,0,0.88,49.71,41.27,56.6673613667628,62.269419789499,6.3,1985.524618934,2.49,"1","1"
17326,2.71,25.1716946111092,81.3170281342914,6.81,5.81,13.41,24.38,16.03,8.64,253080,100,49900,78.87,0.56,51.4496118009153,20.78,7.38888735928107,18.81,57156,21734,15315,16857,15970,21284,14576,13999,5.46,6.38,16.13,32.71,3.08,70.47,8.49,34.8372546528264,11.37,33.94,10.13,34.89,10.25,8.91,3.04,65.0496111966297,79.76,88.6092961854301,71.3330830157874,67.83,65.42,478,8.2977294196204,4686,15.39,9.89259285846105,35.02,37.6605427856883,2.3,0.31,5.24,0.325001220174599,79.26,0.319069358849277,3.43,2.74,2.77,2.77,2.16,69.98,2.88,55.58,2,9137,92.17,64.55,1.11,55.4064365925578,1975,2.49,0.955031766915539,142900,162900,112800,27300,558,662,807,124,351,24.3271156116234,23.1,13.077565990497,0,0,14.98,58.849435419403,48.19,73.61,92.7636999877705,5.45478748350094,2508.1,8.09,"1","0"
14507,2.32,0.15,98.981208473891,1.03,0.48,11,25.769368735482,10.7373189897385,15.8190012478534,14507,0,25482,66.73,1.28100127439946,49.48,40.45,1.53796770616667,18.71,33315,15356,15381,471,0,21299,12498,1278,10.81,8.2,17.27,23.29,3.9,66.592278714776,40.24,19.0883533628409,18.6233907307568,30.7704040932904,10.35,28.09,9.52994629050916,8.61,2.99,78.77,78,92.85,85.14,56.49,72.82,109,0.79,545,8.15,12.23,12.5,29.62,0,0.32,0.32,0.75,93.58,0.67,1.87996602591438,2.17,2.27,2.55,1.9,69.2398215699289,1.48026959578196,37.67,3,120,96.8752324924269,56.05,0.95,43.53,1939,1.73,0.24,49700,70100,68000,48500,186,312,384,167,486,25,18.5,14.3091335590929,0,0,2.54,84.57,70.8171711012535,90.25,94.9003212696112,2.2,6527.6,1.26742742384862,"0","0"
13222,2.5501761390618,1.12,88.49,5.62,7.90879532762337,14.02,25.49,9.52,13.58,52137,100,38882,82.93,0.325217193982098,45.18,39.3233487643798,5.34,14.14,32936,18573,12961,6179,9217,15583,9637,2328,4.96,8.74,36.3798537291827,22.16,5.16198953046619,62.15,10.8852640949065,23,9.71,31.12,8.77,27.92,12.44,14.14,3.27,80.92,66.162579533873,62.98,80.24,60.13,67.03,596,2.63,5987,11.44,19.6478163167089,35.2346404660493,34.81,1.43,2.24,0.693990509531771,1.38443249664269,90.83,0.140648862235248,6.66,2.99653899525525,2.58,2.65,2.25,61.6,5.65,31.89,3,461,96.75,73.94,0.55,22.95,1961,0.99,0.14,61700,140500,240100,128700,535,358,347,135,404,27.8,24.2,12.1,0,16,0.94,74.9230000880943,54.3458266217075,81.8379245859711,94.32,20.2,2371.5,1.39,"1","1"
