"population.numeric","householdsize.numeric","racepctblack.numeric","racePctWhite.numeric","racePctAsian.numeric","racePctHisp.numeric","agePct12t21.numeric","agePct12t29.numeric","agePct16t24.numeric","agePct65up.numeric","numbUrban.numeric","pctUrban.numeric","medIncome.numeric","pctWWage.numeric","pctWFarmSelf.numeric","pctWInvInc.numeric","pctWSocSec.numeric","pctWPubAsst.numeric","pctWRetire.numeric","medFamInc.numeric","perCapInc.numeric","whitePerCap.numeric","blackPerCap.numeric","indianPerCap.numeric","AsianPerCap.numeric","HispPerCap.numeric","NumUnderPov.numeric","PctPopUnderPov.numeric","PctLess9thGrade.numeric","PctNotHSGrad.numeric","PctBSorMore.numeric","PctUnemployed.numeric","PctEmploy.numeric","PctEmplManu.numeric","PctEmplProfServ.numeric","PctOccupManu.numeric","PctOccupMgmtProf.numeric","MalePctDivorce.numeric","MalePctNevMarr.numeric","FemalePctDiv.numeric","TotalPctDiv.numeric","PersPerFam.numeric","PctFam2Par.numeric","PctKids2Par.numeric","PctYoungKids2Par.numeric","PctTeen2Par.numeric","PctWorkMomYoungKids.numeric","PctWorkMom.numeric","NumIlleg.numeric","PctIlleg.numeric","NumImmig.numeric","PctImmigRecent.numeric","PctImmigRec5.numeric","PctImmigRec8.numeric","PctImmigRec10.numeric","PctRecentImmig.numeric","PctRecImmig5.numeric","PctRecImmig8.numeric","PctRecImmig10.numeric","PctSpeakEnglOnly.numeric","PctNotSpeakEnglWell.numeric","PctLargHouseFam.numeric","PctLargHouseOccup.numeric","PersPerOccupHous.numeric","PersPerOwnOccHous.numeric","PersPerRentOccHous.numeric","PctPersOwnOccup.numeric","PctPersDenseHous.numeric","PctHousLess3BR.numeric","MedNumBR.numeric","HousVacant.numeric","PctHousOccup.numeric","PctHousOwnOcc.numeric","PctVacantBoarded.numeric","PctVacMore6Mos.numeric","MedYrHousBuilt.numeric","PctHousNoPhone.numeric","PctWOFullPlumb.numeric","OwnOccLowQuart.numeric","OwnOccMedVal.numeric","OwnOccHiQuart.numeric","RentLowQ.numeric","RentMedian.numeric","RentHighQ.numeric","MedRent.numeric","MedRentPctHousInc.numeric","MedOwnCostPctInc.numeric","MedOwnCostPctIncNoMtg.numeric","NumInShelters.numeric","NumStreet.numeric","PctForeignBorn.numeric","PctBornSameState.numeric","PctSameHouse85.numeric","PctSameCity85.numeric","PctSameState85.numeric","LemasSwornFT.numeric","LemasSwFTPerPop.numeric","PctUsePubTrans.numeric","PolicCars.numeric","PolicOperBudg.numeric","unrelated_column_one","unrelated_column_two"
41779,2.63,51.2589423543712,39.9483057807696,0.87,26.0634715102116,12.5891833824354,30.2,14.68,8.11,59596,100,28853,67.0544048692783,0.33,25.35,30.8543491375415,12.2462289669551,11.52,27277,19833,12595,11836,8628,7230,9435,5508,16.8059498501414,12.7114479355576,33,22.98,8.72315790910274,60.3034522702514,21.47,23.55,15.1109502608453,19.6590159376835,13.4120765432343,45.21,17.1372397211318,14.22,3.03968660306806,56.2965188039622,56.4549378225021,63.5883558950263,57.06,64.2425890094787,60.3000256774699,1024,9.88581337250769,26879,19.53,29.69,17.3546388268905,33.08,0.59,0.73,0.34,1.0251857486181,85.72,1.10627361163497,5.14120387540509,5.12517443200574,2.31,2.62,2.63,56.4605168986072,4.8567350563407,57.24,3,410,94.0693101833202,48.6534255581535,2.7899630086186,41.97,1961,4.06,0.64,114142,60500,72036,34663,200,324,541,163,332,28.6,25,12.8,6,16,0.63,54.17,41.16,86.36,92.9,346.152836134845,1787.08718618229,0.120192230865359,"1","1"
20346,2.45573477963917,1.93,82.8675721300021,0.486280969843889,0.645560290887952,17.41,27.4549502323708,12.6632382102869,18.772571980857,0,0,21040,64.1000697963499,0.350477535875204,28.2786956744889,31.19,10.7761463698403,18.86,23995,10581,12650,6050,6095,10036,7137,8596,17.1261595235765,23.5414447504003,44.8,11.96,11.58,50.466816193494,10.77,25.4247888216283,11.8,26.329216148695,13.92,30.4910565180331,14.1038008142899,12.5689450021523,3.03,63.8368647123361,61.89,71.19207779455,60.16,56.6235780872901,67.88,1070,4.29,497,19.4616707861517,50.72,26.470628815329,38.8,0.254600731871712,0.780693601298456,0.274254795598487,0.845259736361913,75.3079273521574,5.51016875142852,4.27115735629573,1.77454455572646,2.44350301231258,2.53620981961023,3.18,60.9213874815032,3.07705947274342,50.87,2,540,94.8807070294581,58.0666503490508,2.32,51.7170983166046,1959,11.2852545997314,1.38271338052427,35353,44700,59400,60700,168,234,290,141,298,24.6389311942893,17.4283718795826,12.4201154719572,84,0,13.98,71.8618527809158,50.67,83.12,87.8106326424579,34.5853672692397,2690.40006465871,0.276386275404754,"0","1"
141556,2.71,39.0551478596544,69.77,18.6,31.5889278188084,14.7,27.08,12.37,11.29,410036,100,33363,80.56,0.58,22.624688302218,34.826357537983,5.88645177414796,16.75,31846,14101,14020,14428,12043,18477,7634,1384994,28.7310154432617,21.887460514664,21.2517969216282,18.3,6.67,57.5021051146478,13.68,31.5062114160368,11.5676494932516,18.6354695011396,8.03,39.5214938101669,16.03,12.71,3.04,71.1164693871389,49.06,71.67,74.33,59.6659843435325,68.42,886,9.08,395,15.4976401540404,35.12,9.54232656601817,38.4267221604924,2.23,0.0834287707414478,1.24,3.88,8.79,0.65,4.99858234814989,18.8,3.19611801253632,2.43,2.66,59.0073648068185,4.78603223488356,60.27,2,1655,89.5744356899336,44.5875916174551,1.81,17.55,1964,4.47703003767878,0.27,25800,58300,76575,34700,252,244,317,133,388,27.7,15.9,13.5,0,0,9.89,84.7791030203411,48.7865543054882,86.39,87.3589202611164,6.72774622556754,902.8,25.694817181568,"1","0"
16685,2.75181348073296,1.21617557561025,97.9234493607329,1.64148778047413,1.76737343765019,17.03,24.1048613690166,16.5729462979641,11.8904410054628,45422,0,35108,80.1096790866042,0.96,61.47,9.54,4.25,18.5586057091039,46671,18329,14025,2778,0,17210,15101,934,4.58228790346688,17.8221581926057,14.9519734267083,18.0753458272805,5.5063389573743,69.63,6.46,18.93,24.08,26.97,7.62185168297341,27.4899497959033,10.1200222956389,8.2509238583874,3.21,80.78,86.3207452416979,88.58,85.5707783370403,59.7222601531306,78.3020286996569,415,1.33,214,5.87519053046902,20.6058888449008,32.61,49.061400513306,0.12,3.57,2.92,0.446733173864583,95.8390224592543,1.41,4.04931912781205,4.12900612290949,2.7812396514928,3.1,2.15095585031435,82.44,1.36,29.71,3,177,95.02,29.84,1.31,70.5,1954,0.868797294534743,0.07,58042,170700,84300,27900,328,557,630,240,574,26.8,16,11.8256154463937,3,0,2.10701965017244,80.32,63.8086138476323,79.74,91.8536756145488,41.8428740692326,2302,0.213013122801979,"0","0"
10815,3.88,1.07,71.46,0.118631683276035,90.8,19.2284349074215,31.1848746030576,16.43,11.0748949655285,10482,0,17012,72.2936612666585,1.52,24.84,37.2238572201979,19.94,12.5480149015971,19671,6014,6504,59464,0,521,5291,4159,41.5990046611987,44.2441757079788,59.051927329797,9.47,19.22,47.3914467028909,10.37,27.5124651764845,18.54,17.85,6.3998193888925,31.2,12.3419358828198,10.6,4.13643813236306,63.83,56.55,69.14,70.5721239243355,43.03,57.08,626,2.15,2077,16.07,25.27,31.14,37.1648255615123,5.55,8.72,5.70221258074278,12.9,32.12,17.956794137829,13.9099900862295,10,3.75167945086956,3.13744615497456,3.16195431761444,63.79,18.0564969665231,59.3,2,830,92.7,63.20311572835,7.57354912786589,23.53,1973,16.9860496281429,1.25442733651648,23200,30286,58051,31800,104,162,240,129,218,29.9518511092601,23.6931514593773,12.405178340214,0,0,20.9966515477374,64.13,55.97,78.65,84.96,3.8,2846.1,1.47,"0","1"
19817,2.86,0.48,98.68,6.21,1.61207558252073,12.4,24.4,7.6,12.05,21074,100,47984,86.1176197381256,0.7,63.027162097469,27.4667155330628,3.38386349693406,19.63,40407,17698,25895,24040,1936,46973,16432,2052,2.41,6.2381072227424,14.45,15.7694936709339,3.86221269796913,66.878665773229,24.2132947695814,24.99,12.5,47.3824769000476,7.19308523749234,26.1926290524588,8.19250764648896,8.94017178503796,2.96,87.05,86.78,93.265125969986,90.67,51.54,70.8528095705458,16,0.56,1297,3.43,33.9909599393234,28.91,23.35,0.18,1.10342773708981,0.76,1.99,96.8033241552099,2.04,4.9,4.48735043862835,2.71,3,1.8,73.9,1.77,29.24,3,254,95.5894630879614,63.36,4.2811949175247,11.83,1956,0.0777075580259164,0.19,186300,135500,143000,113256,402,651,701,360,625,22.9,25.5081367305092,14.2,12,0,6.29,68.842582933607,71.01,61.8730782875201,85.8621318279579,10.5466642245029,1205.11698968625,1.1,"1","1"
30013,2.97298169365386,26.68,75.7881396236597,19.25,3.3546147522307,13.3040958810241,33.2152777253441,12.7,6.9,76459,100,39391,92.63,0.11,34.1988308334964,20.86,2.36,17.48,27144,11566,22599,11680,9671,12617,14073,672,7.21672818546494,4.10139043512832,11.89,29.4195159557097,7.84,64.55,11.2915103170043,26.1287841136754,6.75,27.36,13.13,28.763242241526,16.3697895385465,12.4498467114149,3.06,75.03,70.54,83.41,69.19,66.5471102039982,65.71,555,3.02,3663,12.97,19.41,36.5822922810602,48.231425380328,2.23,1.16595553400926,1.6,6.46955851733452,83.2537863539159,3.82290814022068,6.07239649642104,2.97,3.08,2.74862915046746,2.65,55.19,2.96,63.06,2,636,92.43,47.6313564533065,3.47,19.3769684943277,1971,6.79,0.41,56908,83951,144000,124559,513,347,660,196,582,24.8889537060944,24.1,13.1,7,0,17.23,31.02,35.7256545063946,61.9626097244187,74.81,3.3,5471.06036190619,3.30868621885777,"1","0"
63221,2.36,0.3,98.2945508626476,0.67515059740593,7.80502586707473,11.02,25.52,7.37,8.64,0,100,49849,63.67,1.07,46.1047950247924,15.2,6.21792428801457,6.83,31567,21734,16758,17489,5975,7459,12623,1174,5.77485123049468,1.97169627162317,10.1391216031089,41.6798301944882,3.99916959528501,55.3,9.62697593390942,20.3129987438954,6.94,24.2306433283538,7.53733175210655,28.8990136138536,11.56,8.91,2.37,75.37,72.93,86.42,69.91,57.5098625672671,76.6705223040469,67,0.51,2380,15.4428353787959,8.78562205745529,12.53,42.0215389802183,0.761949413319429,0.326452723219991,3.83,4.28,86.3105808326602,1.28,1.19781941579034,2.11350217252349,1.94,2.7346474913694,1.74,67.51,1.53,55.06,2,1195,95.4429299317673,60.2468591625492,0.43,29.79,1939,1.59612312437346,0.465538481386999,95202,187871,187600,85461,473,391,517,142,287,23.5,21.5710512584696,12.6218574716399,0,7,11.3309939874709,42.9,47.5388693908354,65.76,91.89209325927,11.7,3765.3,4.32187124093374,"1","0"
11618,2.69,0.52,98.168352853884,0.73,1.43911220328882,12.9479335416248,24.54,23.4060112308548,14.99,11524,100,14316,63.3959363813194,0.21,46.22,26.4041656931234,6.48,17.96,29523,11495,9836,0,109850,13804,17307,1339,9.92602858207344,12.4484197035199,28.08,35.48,6.21169239192037,59.67,4.06956597321201,22.2792365250907,7.21465014328637,23.61,10.33,37.61,11.4038953408739,13.8887966779713,3.06,73.87,72.27,83.46,73.5,71.6518844769779,72.6113518052486,274,2.51531369359698,148,0,20.9425985932894,22.667937243029,4.59222540101813,0,0.642381091727876,0.409428933789022,0.46,95.8908237303429,1.19,3.3,2.34,2.32,2.46,2.00007006925376,79.69,1.22,57.57,2,236,94.3931231229007,63.2243222203928,0.606667213088367,48.7656686432512,1974,7.29988338424514,0.166545177336472,89316,38600,97500,31545,259,254,334,117,366,24.7,19,12.4,0,0,0.656660148538649,67.7966450062208,57.7485242557153,36.4353946867089,88.22,6.7,2014.24127509794,0.49,"0","0"
31808,2.54,3.32,87.75,5.72,8.41,11.87,24.83,11.15,8.2,32038,100,45964,84.87,0.31,50.08,17.04,5.03,14.69,53301,20060,20833,9132,16239,16535,14738,1826,5.95,3.15,11.68,29.27,4.07,68.37,10.6,23.65,8.05,36,13.22,30.03,17.62,15.45,2.96,74.1,70.37,86.15,73.09,63.72,71.99,469,2.35,2956,14.99,24.42,30.35,41.78,1.39,2.27,2.82,3.88,86.93,1.51,3.22,2.16,2.44,2.57,2.16,70.48,2.64,41.79,3,455,96.49,66.73,1.54,20.66,1972,1.24,0.39,155500,203700,259900,104400,471,603,738,267,676,27.5,26.2,11.8,55,21,9.23,58.49,44.31,78.02,90.84,11.6,2740.2,6.08,"0","0"
