"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
28,"0","M","Male",2,70,1,1,0
22,"0","M","Male",1,108,1,1,1
29,"0","M","Male",2,17,1,0,0
36,"0","F","Female",3,92,0,1,1
26,"0","F","Male",21,334,0,1,1
40,"0","M","Male",3,1,0,1,0
90,"0","F","Male",4,37,0,0,0
43,"0","M","Female",1,200,0,0,1
56,"1","M","Male",4,245,0,1,0
32,"0","M","Male",1,182,0,1,1
42,"1","M","Female",2,4,0,0,0
56,"0","F","Male",8,263,0,1,0
56,"0","M","Male",0,6,0,1,0
19,"0","F","Male",6,180,1,1,1
80,"0","F","Female",2,149,1,1,1
35,"0","M","Male",1,15,0,1,1
68,"0","F","Male",7,97,0,1,0
22,"0","M","Male",0,34,0,0,1
56,"1","M","Male",1,27,0,0,1
36,"0","F","Male",2,168,0,0,0
31,"1","M","Male",7,227,0,1,1
25,"0","F","Male",1,33,0,0,1
18,"0","F","Female",0,-1,0,0,0
43,"0","M","Female",2,547,0,0,0
30,"0","F","Male",1,149,0,1,1
52,"1","F","Male",4,9,1,0,1
24,"0","F","Male",1,338,0,1,0
54,"0","F","Male",0,6,0,0,0
55,"0","F","Male",8,67,1,0,1
29,"0","F","Female",0,19,1,0,0
34,"0","F","Male",1,79,1,1,0
45,"0","M","Male",1,341,1,1,0
51,"0","M","Male",2,162,0,0,0
35,"0","M","Male",1,10,1,1,1
30,"1","F","Male",1,104,0,1,1
34,"0","M","Female",0,39,0,1,0
82,"0","M","Female",1,198,0,0,0
84,"0","M","Male",5,6,0,0,0
63,"1","F","Male",15,186,0,1,0
58,"0","F","Female",1,4,0,1,0
36,"1","F","Male",1,14,0,1,0
26,"0","F","Female",0,411,1,0,1
35,"0","F","Female",1,101,1,0,0
70,"0","M","Female",3,18,1,0,1
44,"0","M","Male",0,136,1,1,0
33,"1","F","Male",3,25,0,1,0
31,"0","F","Male",0,523,0,0,1
30,"0","F","Male",3,155,1,1,0
42,"0","F","Male",1,7,0,1,1
56,"0","F","Male",5,8,1,1,1
35,"0","F","Female",1,16,0,1,1
35,"1","M","Female",1,4,0,1,0
56,"0","F","Male",1,133,1,0,0
52,"1","F","Male",1,39,1,0,0
27,"1","F","Male",2,60,0,1,1
50,"1","F","Male",4,14,1,1,0
25,"0","M","Male",0,7,1,1,0
18,"0","M","Male",0,176,0,1,1
29,"0","F","Male",13,242,0,1,0
42,"0","M","Male",4,335,1,0,1
35,"0","M","Male",0,7,0,0,1
26,"1","M","Male",1,6,0,0,0
46,"1","M","Male",4,9,0,0,0
38,"0","M","Female",18,6,1,1,0
23,"0","F","Male",2,139,1,1,1
56,"0","M","Female",0,86,1,0,1
37,"0","M","Male",8,89,0,0,1
24,"0","M","Male",10,98,1,0,0
65,"0","F","Male",3,29,0,0,1
32,"0","F","Male",3,24,0,0,1
53,"0","F","Male",0,405,1,1,0
24,"0","M","Female",1,126,1,1,1
35,"0","F","Male",8,129,0,0,0
59,"0","F","Male",3,7,0,0,0
65,"1","M","Male",6,284,0,1,1
51,"0","M","Male",2,171,0,1,0
23,"1","F","Male",0,155,1,1,1
25,"0","M","Male",1,161,1,0,1
28,"1","F","Male",1,23,0,0,0
40,"0","F","Male",0,9,0,1,1
51,"0","M","Male",0,72,1,0,0
26,"0","F","Male",4,12,1,0,0
40,"0","F","Female",1,49,0,1,0
38,"0","F","Male",1,32,0,1,1
33,"0","M","Male",6,393,0,1,1
71,"1","F","Male",3,157,1,0,1
35,"0","F","Male",3,9,0,1,0
63,"1","F","Female",1,16,0,1,0
53,"0","M","Male",1,28,0,1,1
47,"1","M","Male",0,182,1,0,1
32,"0","M","Male",2,78,1,1,1
22,"0","M","Male",0,150,0,1,0
36,"0","M","Male",3,6,1,1,1
45,"1","M","Male",1,8,1,1,1
70,"0","M","Female",4,11,0,1,0
52,"1","F","Male",1,0,0,0,1
48,"0","F","Female",1,66,0,0,1
62,"0","F","Male",7,77,0,1,0
29,"1","F","Male",19,19,1,1,0
39,"1","M","Female",3,161,1,1,0
