"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
39,"0","F","Male",3,17,0,0,0
65,"0","M","Male",6,146,1,0,1
33,"0","F","Male",3,13,0,0,1
36,"1","F","Male",3,11,0,0,1
36,"1","F","Male",3,218,0,0,0
29,"0","M","Male",2,39,1,0,0
38,"1","F","Male",1,48,1,1,0
55,"0","M","Female",2,383,0,0,0
18,"0","F","Female",9,28,0,0,0
57,"0","F","Female",2,3,0,1,0
67,"0","M","Female",0,117,0,0,1
37,"1","M","Female",21,168,0,1,0
20,"1","F","Male",1,193,0,0,1
62,"1","F","Female",13,108,0,1,0
37,"0","M","Male",3,21,1,0,0
31,"0","F","Male",12,188,0,1,1
38,"1","M","Female",1,474,0,1,1
55,"0","M","Male",1,137,0,0,0
25,"0","M","Male",6,272,0,1,0
74,"0","M","Female",15,22,1,1,1
31,"1","F","Male",8,351,0,1,0
57,"0","F","Male",3,4,1,1,0
30,"1","M","Male",0,51,0,1,1
27,"1","M","Male",3,34,0,0,1
44,"0","F","Male",9,17,1,0,0
28,"0","F","Male",2,158,0,1,1
39,"1","F","Male",19,9,1,0,0
26,"0","M","Male",1,9,1,1,0
21,"1","M","Male",6,109,0,0,0
42,"0","M","Female",1,160,1,0,0
30,"1","F","Male",2,247,1,1,1
24,"0","F","Female",1,330,1,0,1
50,"0","F","Male",3,7,1,0,0
53,"0","M","Male",1,131,1,1,1
59,"0","F","Male",1,180,1,1,1
35,"0","F","Male",3,70,0,0,0
40,"0","F","Female",2,8,1,0,0
59,"1","F","Male",9,136,0,0,1
23,"0","F","Male",11,63,0,1,1
38,"0","M","Male",1,18,0,0,1
34,"1","M","Female",2,32,1,1,0
44,"0","M","Female",1,3,1,1,1
37,"0","M","Female",1,1,1,1,0
60,"1","M","Male",3,24,1,1,1
43,"0","M","Male",0,58,1,1,0
40,"1","F","Male",3,36,0,1,0
55,"0","F","Male",3,27,0,1,1
47,"0","F","Male",5,23,0,0,1
22,"0","M","Male",0,188,0,1,1
61,"0","F","Male",3,37,1,1,0
24,"1","F","Male",0,264,0,0,1
49,"1","F","Male",1,1,0,1,1
37,"0","M","Male",1,314,1,0,1
36,"0","F","Male",2,12,1,0,0
30,"1","M","Male",2,12,1,0,1
70,"0","F","Female",4,5,1,1,1
50,"1","F","Male",2,264,0,0,1
65,"0","F","Male",2,22,0,0,1
54,"0","M","Male",0,5,0,1,0
51,"0","F","Male",2,32,1,0,1
26,"0","M","Female",3,73,1,1,0
52,"0","F","Male",0,40,0,1,1
43,"0","M","Male",2,5,1,1,1
28,"0","M","Male",1,111,0,1,0
35,"0","F","Male",4,1,0,1,0
44,"0","M","Female",7,156,1,0,1
24,"1","F","Male",9,246,1,0,0
64,"0","M","Male",1,6,1,1,0
35,"0","M","Male",2,279,0,1,1
38,"1","F","Male",15,41,1,1,1
39,"1","M","Male",1,30,0,1,0
50,"1","F","Male",0,220,1,1,1
28,"0","M","Male",2,79,0,1,1
38,"0","M","Male",1,69,0,1,0
50,"0","M","Female",2,49,0,1,0
56,"0","M","Male",4,202,1,0,0
42,"0","M","Female",1,57,0,0,1
46,"0","F","Female",1,183,0,0,1
34,"0","F","Male",0,67,1,1,0
28,"1","F","Male",1,75,0,1,1
43,"0","F","Female",2,17,1,1,1
36,"0","F","Male",1,71,0,0,0
60,"0","F","Female",1,13,1,0,1
43,"0","F","Male",2,59,1,0,1
38,"0","F","Male",1,15,0,1,1
19,"1","F","Female",2,148,1,0,0
29,"0","F","Male",21,197,0,1,1
46,"0","F","Male",1,10,0,0,0
27,"0","F","Male",1,343,0,1,0
39,"0","F","Female",7,77,1,1,0
50,"0","M","Male",0,8,0,0,1
32,"1","M","Female",3,19,0,0,0
42,"0","M","Female",1,56,0,1,1
51,"0","F","Male",2,0,0,1,0
24,"0","M","Female",3,40,0,0,1
34,"1","F","Male",1,292,1,0,1
43,"0","M","Male",1,198,0,1,0
77,"0","M","Male",0,43,0,1,1
42,"1","F","Male",0,42,0,0,0
55,"0","M","Male",1,191,1,0,1
