"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
29,"0","M","Female",0,1,1,0,0
24,"1","F","Male",2,7,1,0,1
24,"1","F","Male",3,0,1,1,0
52,"0","M","Male",5,0,0,1,1
20,"1","F","Male",0,1,1,0,0
33,"0","F","Female",2,0,0,0,1
51,"1","F","Male",15,0,1,0,1
29,"1","F","Male",1,1,1,1,1
33,"1","F","Male",3,3,1,1,0
42,"0","F","Male",1,1,1,1,1
29,"1","F","Male",8,16,1,1,1
31,"0","F","Male",15,-1,1,0,0
48,"0","F","Female",0,1,0,0,1
31,"1","F","Male",0,3,0,0,1
28,"0","F","Female",1,36,1,1,0
25,"0","M","Male",0,0,1,1,1
37,"0","F","Male",0,5,1,1,1
27,"1","F","Male",1,136,1,1,0
63,"0","F","Male",2,3,0,1,0
44,"0","F","Male",5,0,0,1,0
43,"0","F","Male",1,0,0,0,0
32,"0","F","Male",4,3,1,0,0
57,"0","M","Male",10,0,0,1,0
33,"1","M","Female",0,7,1,1,0
57,"0","M","Male",1,2,1,0,0
32,"1","M","Male",1,1,1,1,1
35,"1","F","Female",0,7,1,1,0
45,"0","M","Male",2,1,0,1,0
26,"0","F","Male",0,1,1,1,0
65,"0","F","Male",2,5,0,1,0
43,"0","M","Female",0,1,0,1,1
41,"1","M","Male",10,4,0,0,1
36,"1","F","Male",1,30,0,0,0
38,"0","F","Male",0,1,0,1,0
22,"1","F","Male",0,35,0,1,0
57,"0","F","Female",2,0,0,0,1
42,"1","M","Male",0,5,1,0,0
41,"0","F","Male",3,2,0,0,0
23,"1","M","Male",0,3,0,0,0
37,"1","F","Female",4,0,0,1,1
30,"1","F","Male",6,2,1,0,0
49,"0","M","Male",1,14,0,1,0
60,"0","M","Male",4,0,1,0,0
24,"1","M","Female",9,10,0,1,0
25,"1","F","Male",0,16,0,0,1
22,"0","F","Male",1,108,1,0,0
24,"0","F","Male",3,75,1,0,1
29,"1","F","Male",13,1,1,1,0
27,"0","F","Male",0,0,0,1,0
28,"1","F","Male",2,1,0,0,0
30,"0","M","Male",2,0,0,1,0
26,"0","M","Male",1,3,1,1,0
23,"1","F","Female",2,0,1,0,1
30,"0","F","Male",1,0,0,1,0
28,"1","F","Female",2,47,1,1,0
32,"0","F","Male",0,0,0,1,0
29,"0","F","Male",7,1,1,1,1
31,"0","F","Male",6,0,0,1,0
45,"1","F","Male",1,0,0,1,1
43,"0","M","Male",0,1,0,0,0
38,"1","F","Male",2,62,1,0,0
27,"0","F","Female",0,2,1,0,1
21,"0","F","Female",1,2,1,1,0
29,"0","F","Female",4,0,1,1,0
29,"0","M","Male",1,4,1,0,0
20,"1","F","Male",2,33,1,0,0
40,"0","F","Male",1,0,0,0,0
33,"0","M","Male",10,1,0,1,0
41,"0","F","Male",1,0,0,1,1
47,"0","M","Female",2,0,1,1,1
45,"1","F","Male",34,121,1,1,0
35,"0","F","Male",2,115,1,1,1
31,"0","F","Female",1,0,1,0,1
22,"1","F","Male",0,1,0,1,1
29,"1","M","Male",0,0,0,0,0
23,"1","F","Male",2,207,1,0,1
29,"1","F","Male",1,6,1,1,1
25,"1","F","Male",9,1,0,0,0
37,"0","M","Male",1,1,0,1,0
31,"0","M","Male",0,1,0,0,0
59,"0","M","Male",1,0,0,0,0
20,"1","F","Male",0,8,0,0,0
30,"0","F","Male",0,9,1,1,1
42,"1","F","Male",1,25,1,1,0
44,"0","M","Male",0,0,0,1,0
34,"1","F","Male",7,0,1,0,0
56,"0","F","Male",24,6,1,1,1
31,"0","F","Male",0,-1,1,0,0
23,"1","M","Male",1,0,1,1,0
43,"0","F","Male",2,7,1,0,1
35,"1","F","Male",1,0,1,1,1
23,"1","F","Female",2,1,1,0,0
21,"0","F","Male",1,-1,0,0,0
26,"0","M","Male",0,1,1,1,0
32,"0","F","Male",0,1,1,1,0
25,"1","F","Male",5,4,1,0,1
39,"1","F","Male",4,0,0,1,1
36,"1","M","Male",2,1,1,0,1
42,"0","F","Male",0,0,0,1,1
52,"0","M","Male",4,2,1,1,1
