"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
20,"1","F","Male",1,86,1,1,0
24,"0","F","Female",1,2,1,1,0
61,"0","F","Male",1,0,0,1,0
57,"0","M","Male",0,0,0,1,1
29,"0","F","Male",0,1,1,0,0
48,"1","F","Male",5,242,1,0,1
43,"1","F","Female",0,0,0,0,1
23,"0","F","Female",0,1,0,0,1
54,"0","F","Male",11,129,1,0,0
29,"1","M","Male",17,0,1,0,0
23,"1","F","Female",2,3,1,0,1
51,"0","M","Male",2,1,0,0,1
27,"1","F","Male",0,2,0,1,1
23,"0","M","Male",0,5,1,0,1
34,"0","F","Male",1,1,0,1,1
28,"0","M","Male",0,1,0,0,0
36,"1","F","Male",4,26,1,1,0
32,"0","F","Male",1,20,1,0,0
30,"0","M","Male",0,1,1,1,0
40,"0","M","Female",0,1,0,0,1
29,"0","M","Male",3,0,0,1,0
24,"0","F","Male",3,18,0,0,0
51,"0","M","Female",3,89,1,0,1
56,"0","F","Male",1,13,1,0,1
45,"1","F","Male",0,59,1,0,0
33,"0","M","Male",1,0,0,1,0
20,"1","F","Male",2,9,0,0,1
21,"1","F","Male",2,1,1,1,1
41,"1","F","Male",8,3,1,0,1
26,"0","M","Male",1,0,0,1,1
30,"0","M","Male",4,0,1,1,0
27,"1","F","Male",1,0,0,0,1
39,"0","M","Male",1,0,1,0,0
24,"1","M","Female",1,0,1,0,1
47,"1","F","Male",3,33,1,1,1
52,"0","F","Male",0,0,1,1,1
37,"1","F","Male",14,0,1,1,1
49,"0","M","Female",0,1,0,1,1
43,"0","F","Male",1,1,1,0,0
57,"0","M","Male",3,13,1,0,0
48,"1","F","Male",21,70,0,1,0
28,"0","F","Male",3,201,1,1,1
48,"0","F","Female",1,0,1,0,1
59,"1","F","Male",12,127,1,0,1
27,"0","M","Male",0,1,1,1,1
21,"1","F","Male",2,-1,1,0,1
23,"0","F","Male",0,13,0,0,1
27,"1","F","Female",3,0,1,0,0
46,"0","F","Male",0,0,0,1,0
26,"1","F","Male",2,-1,0,0,0
41,"0","F","Male",5,0,1,0,1
24,"0","F","Male",2,32,0,0,0
41,"1","F","Male",17,185,1,1,1
43,"0","F","Male",2,11,0,1,0
37,"1","F","Male",10,1,0,0,1
41,"1","F","Male",19,185,1,0,0
38,"0","F","Male",0,1,0,0,1
23,"0","M","Male",0,0,0,1,0
39,"0","M","Male",3,13,0,1,1
27,"0","F","Female",1,0,1,1,0
30,"1","F","Male",13,0,1,0,0
23,"0","F","Male",1,1,1,0,1
34,"1","F","Male",6,0,1,0,0
26,"0","F","Male",2,9,1,0,1
24,"0","F","Female",1,0,1,0,1
22,"0","F","Male",1,156,1,1,1
51,"0","F","Male",9,1,0,1,0
48,"1","M","Male",1,1,0,1,0
23,"0","M","Male",0,1,0,1,0
24,"0","F","Male",1,1,1,1,1
22,"0","F","Male",0,2,0,1,1
51,"0","M","Male",3,0,0,1,1
59,"0","F","Male",1,0,0,1,0
52,"1","F","Female",2,6,0,0,1
37,"1","M","Male",2,0,1,0,1
52,"0","M","Female",3,0,0,1,1
54,"0","M","Male",23,106,0,0,0
21,"0","F","Female",1,1,0,1,1
32,"1","F","Male",0,22,0,1,0
29,"1","F","Male",17,2,0,1,0
30,"1","F","Female",6,1,1,1,0
32,"1","F","Male",4,1,1,1,0
51,"1","F","Male",8,2,0,1,0
25,"0","F","Male",2,1,0,0,0
29,"0","F","Male",8,2,0,0,1
53,"0","M","Female",1,1,1,1,0
30,"0","M","Male",0,0,0,1,1
28,"0","F","Male",1,25,1,1,0
37,"0","M","Male",4,0,1,1,0
30,"1","F","Male",5,0,0,0,0
20,"0","F","Male",0,0,1,1,1
27,"0","M","Male",2,2,0,0,1
23,"1","F","Male",2,9,1,1,0
47,"0","M","Female",2,0,1,1,0
39,"0","F","Male",0,0,0,0,0
21,"1","M","Female",3,0,1,1,0
27,"1","F","Male",0,0,0,1,1
23,"1","F","Male",4,15,0,1,0
41,"1","F","Male",20,50,0,0,1
20,"0","M","Male",0,1,0,0,1
