"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
22,"0","F","Female",0,1,1,0,1
34,"1","M","Female",1,1,0,1,1
22,"1","F","Male",1,0,0,1,1
37,"1","F","Female",4,1,0,0,1
22,"1","F","Male",1,1,0,0,0
23,"0","F","Male",1,1,1,0,1
20,"1","F","Male",1,1,0,1,1
22,"1","F","Male",0,1,0,0,1
22,"1","F","Male",4,1,0,1,1
31,"1","F","Male",2,1,1,1,0
19,"1","F","Male",2,1,0,1,1
37,"1","F","Male",1,1,0,1,1
22,"1","F","Male",1,1,1,1,0
36,"0","M","Male",3,1,0,0,1
22,"0","F","Male",1,1,0,1,0
22,"1","F","Male",1,1,0,1,0
25,"1","F","Male",1,26,0,0,1
32,"1","F","Male",1,1,0,1,1
22,"1","M","Female",1,3,1,1,1
60,"1","F","Male",1,0,0,1,1
34,"1","M","Male",1,0,0,1,0
35,"1","F","Male",0,1,0,1,0
36,"1","M","Male",1,1,0,1,1
27,"1","F","Male",13,1,0,0,0
22,"0","F","Male",1,1,0,1,0
59,"0","F","Female",0,1,0,1,1
24,"1","F","Female",2,3,0,0,0
22,"1","M","Female",1,27,1,1,0
22,"1","F","Male",1,1,0,1,1
22,"0","F","Male",1,24,0,1,1
30,"1","F","Female",2,1,0,1,0
22,"0","F","Male",1,4,0,0,1
22,"1","F","Male",7,1,0,1,1
37,"0","F","Male",1,42,1,1,1
22,"1","F","Male",4,0,0,1,0
26,"0","M","Female",1,3,1,0,1
22,"0","F","Male",0,1,0,1,1
35,"1","F","Male",1,1,0,1,1
22,"0","M","Male",1,1,0,1,1
26,"1","F","Male",1,1,0,1,1
22,"1","F","Male",4,1,0,0,1
22,"1","F","Male",1,31,0,1,1
44,"1","F","Male",1,1,0,0,1
22,"1","F","Male",0,1,0,1,0
22,"1","F","Male",0,0,0,1,0
25,"1","F","Male",0,1,0,0,1
22,"0","F","Female",0,1,1,1,1
22,"1","F","Male",1,1,1,1,1
22,"1","F","Male",1,1,0,0,1
40,"1","M","Male",0,1,0,1,1
22,"1","F","Male",5,35,0,1,1
39,"0","M","Male",1,0,0,0,1
47,"0","F","Female",1,1,0,1,1
22,"1","F","Male",1,1,1,1,1
22,"1","F","Male",6,1,0,1,0
51,"1","F","Male",1,1,1,1,1
22,"0","F","Male",1,-1,1,1,1
56,"0","M","Male",9,1,1,1,1
22,"1","F","Male",12,1,0,0,1
25,"1","F","Male",1,0,1,1,1
22,"1","F","Male",1,1,0,0,0
22,"1","F","Male",1,1,1,1,1
22,"1","M","Male",6,1,1,1,1
22,"0","M","Male",3,1,1,0,1
22,"1","F","Male",1,0,0,1,0
22,"1","F","Male",0,6,1,1,1
38,"1","F","Male",1,1,0,1,1
22,"1","F","Male",1,1,0,1,0
23,"1","F","Male",3,1,0,1,1
31,"1","F","Male",1,1,1,0,1
22,"1","F","Female",2,0,0,0,1
24,"0","F","Male",1,0,0,0,1
22,"1","F","Male",3,1,1,1,1
22,"0","F","Female",1,8,0,0,1
55,"1","F","Male",3,34,0,0,1
46,"1","F","Female",2,9,0,1,1
22,"0","F","Male",6,3,0,1,1
22,"0","F","Female",0,1,0,0,1
22,"1","F","Male",1,1,1,0,1
22,"1","F","Male",17,1,0,0,1
53,"1","F","Male",0,1,0,1,1
22,"1","F","Male",1,0,1,1,1
22,"1","M","Male",1,1,0,1,0
22,"0","F","Male",1,1,0,1,1
22,"1","F","Male",1,1,1,0,1
28,"0","F","Female",1,1,0,1,1
22,"1","F","Male",21,35,0,1,1
42,"1","M","Female",1,0,0,1,1
26,"1","F","Male",1,0,1,0,1
22,"1","F","Male",3,1,0,1,0
