age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,response
37,1,M,Male,4,2,0,0,0,1
28,0,F,Male,0,1,0,1,0,1
22,0,M,Female,0,1,0,0,1,0
45,0,F,Female,1,1,0,1,0,1
28,1,F,Male,18,12,1,1,0,0
31,0,M,Male,1,1,0,1,1,1
20,1,F,Male,0,1,1,1,0,1
27,0,F,Male,0,0,0,0,0,1
23,1,F,Male,8,2,1,0,1,0
44,0,M,Male,0,2,0,0,1,1
24,1,F,Male,15,2,1,1,0,0
54,0,M,Male,0,0,0,0,1,1
42,0,M,Male,6,1,0,1,1,1
28,0,F,Male,1,0,1,1,0,1
60,0,F,Male,12,1,1,1,1,1
30,0,F,Female,2,2,1,0,0,1
21,1,F,Male,8,243,1,1,1,0
37,0,F,Male,0,0,0,1,1,1
30,1,F,Male,7,38,1,0,0,0
25,1,M,Female,1,0,0,0,0,1
28,1,M,Male,0,1,0,0,1,1
24,1,F,Male,1,21,0,1,1,1
30,1,M,Male,4,0,0,0,0,0
39,0,M,Female,0,2,0,0,1,1
59,0,M,Male,2,0,1,1,1,1
31,0,M,Male,0,9,0,0,1,1
24,0,M,Male,1,0,1,0,1,1
32,0,F,Female,1,2,0,0,1,1
34,0,F,Male,0,-1,1,0,0,1
22,1,F,Male,1,0,1,0,1,1
41,0,F,Male,1,2,0,0,0,1
22,0,F,Female,0,0,1,1,0,1
39,0,F,Male,2,0,1,1,1,1
37,1,F,Male,6,1,0,1,1,1
30,0,F,Male,1,28,0,0,0,1
25,1,F,Male,0,0,1,0,1,1
38,1,F,Male,0,1,1,1,0,1
35,0,F,Male,0,0,1,1,0,1
24,0,F,Male,0,18,0,1,1,1
21,1,F,Male,1,15,1,1,1,1
58,0,F,Male,1,1,0,0,1,1
27,0,M,Male,1,0,1,1,0,1
30,0,F,Male,7,1,0,1,0,0
56,0,M,Male,3,14,1,1,0,1
38,0,M,Male,1,126,0,1,1,1
39,0,F,Female,1,0,1,1,0,1
55,1,M,Male,0,0,1,0,0,1
27,1,F,Male,6,1,0,1,1,1
39,0,F,Female,0,1,0,0,1,1
45,1,M,Male,12,3,1,0,1,0
30,0,F,Male,11,0,1,1,1,0
69,1,M,Male,0,0,0,0,1,1
38,0,F,Female,0,4,1,0,1,1
22,1,F,Male,1,0,0,0,0,1
28,1,F,Male,10,243,1,0,1,1
66,0,M,Male,0,1,0,1,0,1
