"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
37,"0","M","Male",0,0,0,0,0
26,"0","F","Male",0,1,1,1,0
22,"0","M","Female",1,1,0,0,1
27,"0","M","Male",1,1,0,1,1
24,"1","F","Male",18,12,1,1,0
19,"1","M","Male",0,1,1,1,1
20,"0","F","Male",0,1,1,1,0
27,"0","F","Male",4,0,1,0,0
23,"0","F","Male",8,2,1,1,1
44,"0","M","Male",0,1,0,1,1
24,"1","F","Male",4,2,1,1,1
41,"0","M","Male",23,0,0,1,1
47,"0","M","Male",6,1,0,0,0
38,"1","F","Male",1,232,1,1,0
22,"0","M","Male",2,1,0,1,1
30,"0","F","Female",2,2,1,0,0
21,"1","F","Male",0,0,1,1,1
37,"1","F","Male",0,0,1,1,1
24,"1","F","Male",7,0,1,0,0
25,"1","F","Female",1,0,0,1,0
28,"1","F","Male",1,1,1,0,1
75,"0","F","Male",2,21,1,1,1
26,"0","M","Male",0,2,0,0,0
39,"0","F","Male",6,2,0,0,1
47,"0","M","Male",2,1,1,1,0
31,"0","M","Male",2,0,0,0,0
52,"1","M","Male",1,1,1,0,0
32,"0","F","Female",4,1,0,0,0
34,"0","M","Male",0,-1,1,0,0
22,"1","F","Male",1,0,1,0,1
41,"0","F","Male",4,74,1,0,1
27,"0","M","Male",0,0,1,1,0
36,"0","F","Male",2,0,1,1,1
29,"1","F","Male",6,1,0,1,0
34,"0","M","Male",1,28,0,0,0
25,"1","F","Male",0,0,0,0,0
38,"0","F","Male",0,1,1,0,1
35,"0","F","Male",0,0,0,1,1
29,"0","M","Male",0,18,0,1,0
44,"1","F","Male",1,0,1,1,1
38,"0","F","Male",9,1,0,0,1
35,"0","F","Male",1,0,0,1,0
30,"0","F","Male",5,16,0,1,0
30,"1","M","Male",3,17,1,0,0
38,"0","F","Male",1,2,1,1,1
24,"1","F","Male",1,19,1,1,1
42,"1","M","Male",0,0,1,1,0
27,"1","M","Male",0,2,0,1,1
43,"0","F","Female",0,1,1,0,1
32,"1","M","Male",12,3,0,1,1
30,"0","M","Male",0,1,1,1,1
69,"1","M","Male",0,0,0,0,0
38,"0","M","Male",6,0,1,0,1
22,"0","F","Male",1,0,0,1,0
47,"1","F","Male",0,243,1,0,1
27,"1","M","Male",0,1,1,1,1
26,"1","F","Male",1,35,1,0,1
29,"1","F","Male",3,1,0,1,0
39,"1","F","Male",2,86,1,1,1
28,"0","F","Male",0,0,0,0,0
23,"0","M","Male",1,-1,0,0,1
46,"1","F","Male",0,0,0,1,1
43,"1","F","Male",0,74,1,1,0
25,"0","F","Female",1,0,0,1,1
43,"1","M","Male",9,0,0,1,1
59,"0","M","Female",0,29,0,1,0
74,"1","M","Male",7,-1,1,0,0
36,"1","F","Male",2,7,1,0,1
40,"0","M","Male",7,1,0,0,0
37,"0","F","Female",1,-1,1,0,0
37,"1","F","Male",0,0,0,0,0
35,"0","F","Male",0,2,0,1,1
34,"1","F","Male",0,0,0,0,1
37,"0","F","Male",4,1,1,0,0
24,"0","M","Male",0,0,1,0,0
31,"1","F","Male",11,1,0,1,0
22,"1","F","Male",0,0,1,0,0
65,"0","F","Female",1,23,1,1,1
42,"0","M","Female",0,1,0,1,1
59,"0","M","Female",0,0,0,0,1
29,"0","M","Male",0,0,0,1,1
44,"0","F","Male",0,0,0,1,1
30,"0","F","Female",0,5,0,1,0
53,"1","F","Male",0,2,1,0,0
39,"0","F","Female",0,0,0,1,1
28,"1","M","Male",3,1,1,0,1
24,"1","F","Male",0,1,0,0,1
39,"1","M","Female",2,0,0,1,1
59,"0","F","Male",3,0,0,0,1
29,"1","F","Male",1,1,1,1,0
36,"1","F","Male",2,5,0,1,1
69,"0","F","Female",1,0,1,0,0
32,"0","M","Male",0,2,1,0,0
20,"0","F","Male",0,2,1,1,0
37,"0","M","Male",0,180,0,0,0
23,"1","M","Male",0,1,0,1,1
55,"0","M","Male",16,0,0,0,1
28,"1","M","Female",5,2,0,1,0
36,"0","F","Male",0,1,1,1,1
52,"0","M","Male",6,0,0,0,1
26,"1","F","Female",1,1,1,1,1
21,"1","F","Male",8,3,0,1,1
41,"1","F","Male",6,0,1,1,0
24,"1","F","Male",7,597,1,0,0
58,"0","F","Female",0,4,0,0,0
24,"0","F","Male",1,38,1,1,0
30,"0","M","Male",9,3,0,1,1
22,"0","M","Male",0,0,1,1,0
26,"1","F","Male",2,182,1,0,1
46,"1","F","Male",9,115,1,0,1
35,"1","F","Male",17,-1,1,1,0
26,"0","F","Female",0,1,0,0,0
30,"1","M","Male",4,0,0,1,1
42,"1","F","Male",1,0,1,1,1
35,"0","M","Male",6,1,0,0,0
21,"0","F","Male",1,1,1,1,1
29,"0","M","Male",8,1,1,1,0
42,"1","F","Female",3,1,0,1,0
31,"0","M","Male",16,33,1,0,1
29,"0","F","Male",29,0,0,1,1
37,"1","F","Male",4,1,0,0,1
27,"0","F","Male",0,27,1,1,0
31,"1","F","Male",2,1,0,0,1
29,"1","M","Male",6,0,1,1,0
34,"0","F","Male",3,0,1,1,1
48,"1","F","Male",0,5,1,0,0
40,"1","F","Male",19,55,1,0,1
44,"0","F","Male",0,0,0,0,1
23,"1","F","Male",0,0,1,0,0
31,"0","F","Male",3,0,1,1,0
25,"1","F","Female",1,0,1,1,1
54,"0","F","Female",0,0,1,0,0
30,"0","M","Male",4,0,1,1,1
30,"1","M","Male",0,0,0,0,0
23,"0","F","Male",4,0,0,1,1
40,"0","M","Female",1,0,0,0,0
28,"1","F","Male",16,2,1,0,1
24,"0","F","Male",0,-1,0,0,1
35,"1","M","Male",0,2,1,1,0
27,"0","F","Male",0,3,1,1,1
44,"1","F","Male",5,1,0,0,0
39,"1","F","Male",0,1,0,1,0
49,"0","F","Male",6,-1,0,1,1
36,"0","M","Male",0,0,1,0,0
35,"0","F","Male",0,1,0,1,0
28,"1","F","Female",0,53,1,0,0
21,"0","F","Male",0,1,1,0,0
25,"1","F","Male",1,0,1,0,0
32,"0","M","Female",0,0,1,1,0
47,"0","F","Male",0,0,1,1,1
20,"0","F","Male",0,2,1,0,0
36,"1","M","Male",1,32,1,1,0
25,"0","F","Male",0,1,0,1,1
49,"0","M","Male",1,1,0,1,1
39,"0","F","Female",2,1,1,1,0
37,"1","M","Female",11,2,1,1,0
67,"0","M","Male",4,43,1,0,0
28,"1","F","Male",4,62,1,1,0
25,"1","F","Male",1,5,1,0,1
27,"0","F","Male",1,7,1,0,1
56,"0","M","Male",3,13,1,0,0
36,"0","F","Male",0,2,1,0,1
25,"1","F","Female",1,0,0,0,1
23,"1","F","Male",2,1,1,0,1
32,"1","M","Male",2,2,1,1,0
29,"1","F","Male",17,1,0,0,0
56,"0","M","Male",2,1,0,0,1
28,"0","F","Female",5,1,0,1,0
21,"0","F","Male",3,1,1,1,0
57,"0","F","Male",0,0,0,0,0
34,"1","M","Male",1,17,1,1,0
25,"1","F","Male",23,1,1,0,1
22,"1","F","Male",1,7,1,0,1
34,"1","M","Male",1,1,0,0,0
47,"0","F","Male",1,0,0,1,0
30,"1","F","Male",2,1,0,0,0
35,"0","F","Male",0,1,0,1,0
46,"1","F","Male",0,0,1,1,1
29,"0","F","Male",1,83,0,1,1
40,"1","M","Male",2,0,0,1,0
44,"1","F","Male",5,0,0,0,0
22,"0","M","Female",0,1,1,0,1
24,"0","F","Male",0,1,1,1,1
51,"1","M","Male",3,-1,0,0,0
34,"0","M","Female",11,40,0,0,1
21,"0","F","Male",1,1,1,1,1
26,"1","F","Female",4,32,1,1,0
38,"1","F","Male",2,1,0,1,1
50,"1","M","Male",0,0,0,0,1
28,"1","F","Female",9,20,1,0,1
25,"1","F","Male",4,1,0,0,1
56,"0","F","Male",5,6,1,1,0
29,"0","F","Male",3,0,1,1,1
33,"1","M","Male",0,0,0,1,1
28,"1","F","Male",3,1,1,1,0
20,"0","M","Female",0,0,1,1,0
37,"0","F","Male",4,19,0,1,1
29,"1","M","Male",1,1,0,0,0
25,"0","M","Male",0,1,0,1,0
23,"1","F","Male",0,0,0,1,1
56,"0","M","Male",2,36,1,1,1
20,"1","F","Male",1,26,1,1,0
37,"1","F","Male",0,7,1,0,0
28,"0","F","Female",4,0,1,1,0
49,"0","M","Female",4,0,0,0,1
50,"0","M","Male",0,0,1,0,1
25,"1","F","Male",4,1,1,0,1
33,"0","F","Male",8,1,1,0,1
43,"0","F","Male",7,1,1,1,0
23,"0","M","Male",3,0,0,1,0
54,"1","F","Male",0,1,0,0,1
37,"1","M","Female",0,35,0,0,1
27,"0","F","Male",0,1,1,1,0
39,"1","M","Male",2,10,1,0,0
45,"0","F","Female",1,0,1,1,0
21,"0","F","Male",0,0,1,0,0
32,"0","M","Male",3,6,1,1,0
27,"0","M","Male",1,1,0,0,1
33,"0","F","Male",2,0,0,0,1
37,"1","F","Male",7,1,1,1,0
55,"1","M","Female",0,0,0,0,1
21,"0","M","Male",7,0,0,1,1
31,"1","F","Male",1,14,0,0,0
23,"0","F","Male",1,0,1,1,1
54,"1","M","Male",8,0,1,0,0
29,"0","F","Male",10,1,1,0,0
38,"0","M","Male",0,0,0,0,0
25,"1","M","Male",6,0,0,1,1
74,"0","F","Female",1,1,0,0,0
24,"1","M","Male",7,0,1,0,0
23,"1","M","Male",1,53,1,0,1
36,"0","M","Female",0,0,0,0,0
37,"1","M","Male",0,0,1,1,1
60,"0","F","Male",1,0,1,1,1
34,"1","F","Male",4,1,0,0,1
