"age","two_year_recid","c_charge_degree","sex","priors_count","length_of_stay","race","unrelated_column_one","unrelated_column_two"
47,"0","M","Female",2,3,0,1,1
59,"0","M","Male",14,6,1,0,1
29,"0","M","Male",0,0,0,1,0
25,"1","F","Male",2,0,1,0,1
29,"0","M","Male",5,0,1,0,0
59,"0","F","Male",0,-1,0,0,1
53,"0","F","Male",1,-1,1,1,1
43,"0","M","Male",0,1,0,1,0
29,"1","M","Male",8,2,1,0,0
41,"1","F","Male",1,1,0,0,0
30,"0","F","Male",1,103,1,0,0
58,"0","F","Female",0,1,0,1,0
20,"1","M","Male",0,0,1,1,1
28,"1","F","Female",11,18,1,0,0
32,"1","F","Male",13,1,1,0,0
57,"0","F","Male",1,0,1,0,0
28,"1","M","Male",4,1,0,0,0
24,"1","F","Male",1,0,0,1,1
56,"0","F","Female",2,0,0,1,0
38,"1","F","Female",0,2,1,0,1
48,"0","F","Male",11,-1,1,1,1
30,"1","F","Male",9,7,1,1,1
23,"1","M","Male",3,30,1,0,0
56,"1","F","Male",31,2,1,1,1
24,"1","M","Female",0,5,0,0,1
42,"1","F","Male",0,0,1,0,0
25,"1","F","Male",0,0,0,0,1
25,"1","F","Male",3,5,1,0,0
28,"1","M","Male",5,64,1,1,1
33,"1","F","Male",1,10,0,1,1
25,"0","F","Male",5,0,1,0,1
23,"1","M","Male",0,0,0,1,1
23,"0","F","Male",1,0,1,1,1
56,"1","M","Female",9,4,0,1,1
28,"1","F","Male",2,42,0,1,1
45,"1","F","Male",1,23,0,0,0
54,"0","F","Male",21,3,1,1,1
27,"1","M","Male",3,1,0,1,0
24,"1","F","Female",6,33,1,1,0
52,"0","M","Male",0,9,0,1,1
24,"1","F","Male",2,0,1,1,0
45,"0","M","Male",0,0,0,0,0
25,"1","F","Male",3,5,1,0,0
24,"1","F","Female",2,4,1,1,0
26,"1","M","Male",9,0,0,1,0
60,"1","F","Female",7,187,0,1,1
27,"1","F","Female",5,47,1,1,1
51,"1","F","Male",0,2,1,0,1
21,"1","F","Male",0,0,1,1,1
22,"0","M","Male",0,1,0,1,1
26,"1","M","Male",2,0,0,0,0
22,"1","M","Male",1,0,1,1,0
23,"1","M","Male",0,0,0,0,0
25,"0","F","Male",1,0,0,0,0
74,"0","F","Male",4,8,0,1,0
22,"0","M","Female",0,1,0,0,1
35,"0","F","Male",2,27,1,1,1
34,"1","F","Female",0,10,0,1,0
23,"0","F","Female",0,1,0,0,1
37,"0","F","Male",0,0,1,1,1
31,"1","F","Female",0,0,1,1,1
26,"0","F","Female",1,9,0,0,0
31,"1","F","Male",25,117,1,0,1
48,"0","F","Male",4,0,1,0,0
23,"0","M","Male",1,3,1,0,0
27,"1","F","Male",3,10,1,1,0
54,"0","F","Male",6,4,0,0,1
29,"1","F","Male",6,1,0,1,0
22,"1","F","Male",0,2,0,0,0
44,"0","F","Male",0,2,1,1,0
21,"1","F","Male",0,0,0,1,1
53,"0","F","Male",1,3,1,0,1
27,"1","M","Male",1,30,0,0,1
33,"0","F","Male",1,5,0,1,0
32,"1","M","Male",0,-1,0,0,1
36,"0","F","Male",4,0,1,1,0
44,"0","M","Male",2,0,0,1,1
31,"0","M","Male",3,16,1,0,1
23,"1","F","Male",3,47,1,0,0
38,"1","F","Male",10,1,0,0,1
26,"0","M","Male",0,1,0,0,0
39,"0","M","Male",0,0,0,1,1
53,"1","F","Male",12,137,1,0,0
20,"1","F","Male",2,13,1,0,0
27,"1","M","Male",3,0,1,1,1
43,"1","M","Male",3,4,1,1,1
28,"1","M","Male",17,13,1,0,0
65,"0","M","Male",0,0,0,1,1
27,"0","F","Male",0,19,0,1,1
23,"1","F","Male",0,1,0,1,1
59,"1","M","Male",15,14,1,1,1
47,"0","M","Male",5,0,0,1,0
28,"1","F","Male",0,0,0,0,1
34,"0","M","Female",0,29,0,1,1
27,"0","F","Male",1,1,0,1,0
23,"0","F","Male",1,1,1,0,1
23,"0","F","Male",1,0,0,1,1
24,"1","F","Male",3,45,1,1,1
28,"0","M","Female",0,0,1,1,0
53,"1","M","Male",18,29,1,0,1
