age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,response
34,1,F,1,Male,7,0,1
44,0,F,1,Male,2,1,1
61,1,F,0,Female,8,30,1
22,0,M,0,Female,1,17,0
39,0,F,0,Male,0,0,1
36,0,M,1,Female,1,-1,1
22,0,F,1,Male,3,128,1
22,1,F,1,Male,1,5,1
37,1,F,1,Male,9,1,1
63,0,F,0,Male,2,3,1
43,0,M,0,Male,0,0,1
24,0,M,0,Female,0,0,1
59,0,M,0,Male,0,1,1
35,0,M,1,Male,0,0,1
26,1,F,1,Male,3,13,0
34,1,F,0,Male,0,1,1
24,0,F,1,Male,0,1,1
31,0,F,0,Male,2,16,1
30,1,M,1,Male,0,0,1
51,0,F,0,Male,3,6,1
35,0,F,1,Male,8,239,0
45,1,F,0,Male,9,54,0
31,1,M,0,Male,0,0,1
23,1,F,1,Male,7,1,0
48,0,F,1,Male,0,1,1
24,0,M,1,Male,1,0,1
38,1,F,1,Male,9,1,1
23,0,F,1,Male,0,0,1
28,1,F,0,Male,1,30,1
31,1,F,1,Male,16,0,0
36,0,F,1,Male,0,0,1
28,1,F,0,Male,3,1,1
23,0,M,0,Female,1,1,1
51,0,M,0,Male,0,91,1
29,1,F,1,Male,16,0,0
25,0,M,0,Male,2,1,1
45,0,F,0,Male,8,1,1
41,0,M,0,Male,0,0,1
25,1,M,1,Male,1,0,1
23,0,F,0,Male,4,2,0
30,1,M,1,Male,18,1,0
30,1,M,0,Male,2,5,1
23,0,M,1,Male,1,178,1
48,1,F,0,Male,23,360,0
44,0,F,1,Male,0,0,1
26,1,F,0,Male,1,16,1
22,0,F,1,Male,3,0,0
44,0,M,0,Male,16,81,1
37,0,M,0,Female,1,1,1
47,1,F,1,Male,3,39,0
31,0,M,0,Male,0,5,1
53,0,F,0,Male,1,21,1
29,0,F,1,Male,0,1,1
31,0,M,0,Male,0,9,1
57,1,F,1,Male,1,25,1
30,1,M,0,Male,2,0,1
54,0,M,0,Female,0,0,1
38,0,F,1,Male,15,0,1
25,0,F,1,Male,0,7,1
39,0,F,1,Female,6,0,1
35,0,M,0,Female,1,28,1
28,0,M,0,Female,0,0,1
34,1,F,0,Male,0,1,1
33,1,F,1,Male,14,1,0
31,0,M,0,Male,3,0,1
38,0,M,0,Male,0,1,1
29,1,F,1,Male,2,1,1
40,0,M,1,Female,2,100,1
21,1,F,1,Male,1,1,1
22,1,F,1,Male,0,149,1
49,0,M,0,Female,0,1,1
25,0,M,0,Male,2,12,0
42,0,F,1,Male,1,0,1
23,1,M,1,Male,0,1,1
24,0,F,0,Female,0,0,1
35,0,F,1,Male,7,28,1
39,1,F,0,Male,2,-1,1
26,1,F,1,Male,3,33,0
57,0,M,1,Male,27,9,0
26,0,F,1,Male,7,19,1
23,1,F,0,Male,6,84,0
41,1,M,1,Male,18,33,0
52,0,F,0,Male,0,0,1
40,0,M,0,Male,4,1,1
27,0,F,1,Male,2,0,1
30,0,M,0,Male,0,0,1
22,1,M,0,Male,0,0,1
51,0,M,0,Female,2,0,1
34,1,M,1,Female,0,1,1
28,1,F,0,Male,2,2,1
24,0,F,0,Male,0,32,1
34,1,F,0,Male,0,2,1
39,1,F,1,Male,0,0,1
28,1,M,1,Male,5,51,1
37,0,F,1,Female,13,1,1
62,1,F,1,Male,13,1,0
39,0,M,0,Male,0,3,1
20,0,F,1,Male,0,0,1
29,0,F,0,Male,0,1,1
52,0,M,0,Male,4,0,1
37,0,F,0,Male,3,2,1
21,1,F,1,Male,1,1,0
21,0,F,0,Female,0,2,1
35,0,M,1,Male,1,1,1
23,0,M,0,Female,1,0,1
28,0,F,1,Male,12,1,1
52,1,M,1,Male,15,0,1
36,1,M,1,Male,3,2,1
41,0,F,1,Male,19,220,0
44,0,F,0,Male,4,1,1
23,0,F,1,Male,3,33,0
25,0,F,0,Male,4,1,0
46,0,F,0,Male,13,141,1
61,0,F,1,Male,5,12,1
55,0,F,0,Male,2,1,1
29,1,F,1,Female,11,23,0
41,0,F,0,Male,3,1,1
56,0,M,0,Male,0,0,1
21,1,F,0,Male,1,1,1
25,1,M,0,Male,6,1,1
55,1,M,0,Male,0,30,1
35,0,F,1,Male,0,0,1
24,0,F,0,Male,0,0,1
46,0,M,1,Male,2,1,1
32,0,F,1,Male,1,-1,1
32,0,M,0,Male,0,19,1
42,0,F,1,Male,1,1,1
36,0,M,1,Male,4,2,1
24,1,F,1,Male,6,1,1
28,1,F,1,Male,11,0,0
28,1,M,1,Male,4,0,1
47,0,F,0,Male,1,183,1
36,1,F,1,Female,1,0,1
25,1,F,1,Male,3,1,1
26,0,F,1,Male,0,2,1
21,1,F,0,Male,0,1,1
44,0,F,0,Male,0,4,1
25,1,F,1,Male,2,0,1
29,1,F,1,Male,15,1,1
37,0,F,1,Male,0,0,0
20,1,F,0,Male,0,1,1
20,1,F,1,Male,0,0,1
55,1,F,0,Male,1,1,1
24,0,F,1,Male,1,141,1
24,1,F,0,Male,6,218,0
39,0,F,0,Male,6,0,1
50,0,M,0,Male,0,0,1
20,1,F,0,Male,8,1,0
32,0,F,1,Female,0,0,1
57,0,M,0,Female,0,1,1
25,0,M,0,Female,0,0,1
24,0,M,0,Female,7,1,1
33,1,M,1,Male,5,5,0
49,1,F,1,Male,3,0,1
25,0,M,1,Female,3,1,0
24,0,F,1,Male,0,0,1
39,1,F,1,Male,7,0,0
24,0,F,0,Male,0,0,1
29,0,F,1,Female,0,1,0
42,0,F,0,Male,0,1,1
27,0,F,1,Male,2,131,1
39,0,F,0,Male,0,1,1
31,1,F,0,Male,1,1,1
39,0,F,0,Male,0,1,1
56,1,M,0,Male,10,13,1
61,1,M,1,Male,20,30,1
26,0,F,0,Male,2,1,1
25,0,F,0,Male,1,1,1
32,1,M,1,Male,13,38,0
39,0,F,1,Female,1,62,1
54,1,F,1,Male,6,13,1
24,1,F,0,Male,2,10,1
58,0,M,0,Male,0,0,1
28,0,F,1,Male,11,26,0
45,0,F,1,Male,6,1,1
43,0,M,0,Male,2,1,1
36,1,F,1,Male,7,0,1
36,1,M,0,Male,0,1,1
23,1,F,0,Male,0,18,0
27,1,F,1,Male,5,28,0
29,0,F,1,Male,0,72,1
27,0,F,0,Male,0,12,1
30,1,M,1,Male,7,2,0
39,0,M,0,Male,0,0,1
27,0,M,0,Male,1,1,1
21,0,M,1,Female,0,1,1
50,1,F,0,Female,1,1,1
33,0,M,0,Female,1,0,1
32,0,M,0,Female,0,10,1
46,0,M,0,Male,1,1,1
55,0,F,0,Female,2,2,1
29,1,F,1,Male,17,15,0
31,1,F,1,Male,6,0,1
23,1,F,1,Male,2,6,0
26,1,M,0,Female,4,1,1
52,0,M,0,Male,0,0,1
32,1,F,1,Male,17,112,0
52,1,F,0,Male,1,3,1
44,1,M,0,Male,1,0,1
26,1,M,1,Male,1,29,1
36,1,M,1,Male,5,19,0
23,0,F,1,Male,0,1,1
46,1,F,1,Male,5,2,1
52,0,F,0,Male,0,0,1
43,0,M,1,Female,9,1,0
40,0,M,0,Male,0,0,1
56,1,F,0,Female,10,41,1
45,0,M,0,Male,1,0,1
37,0,F,1,Male,6,1,1
38,0,M,0,Male,1,126,1
35,1,M,1,Male,8,62,1
29,1,F,1,Male,3,-1,1
46,0,F,0,Male,0,1,1
37,1,F,0,Male,0,35,1
33,0,M,0,Female,1,0,1
51,0,F,1,Male,3,-1,1
31,1,M,1,Male,8,0,1
55,0,F,1,Male,0,0,1
21,1,F,0,Male,0,6,1
26,0,F,0,Male,2,0,1
67,0,M,0,Female,0,0,1
26,0,M,0,Male,0,0,1
29,1,M,0,Male,12,39,1
33,1,M,1,Male,3,114,1
22,1,M,1,Male,0,0,1
53,1,M,0,Male,8,4,1
41,0,F,1,Male,2,14,1
35,0,F,1,Male,0,1,1
31,0,M,1,Male,1,1,1
30,1,M,0,Male,1,0,1
27,1,F,0,Male,4,3,1
24,0,M,1,Male,1,1,1
38,1,F,1,Male,2,9,1
24,0,M,1,Male,1,1,1
31,0,M,1,Male,1,1,1
21,1,F,1,Male,0,1,0
33,0,M,1,Male,0,0,1
23,1,F,1,Male,4,0,1
25,1,F,1,Male,7,127,0
38,0,F,0,Female,0,1,1
37,0,M,0,Male,3,0,1
41,0,M,1,Female,0,1,1
34,1,F,1,Male,13,0,1
22,1,F,1,Male,1,6,1
20,1,M,1,Male,1,1,1
46,1,F,0,Female,7,3,1
50,0,F,0,Male,0,0,1
51,1,F,0,Male,1,1,1
62,0,M,0,Male,0,2,1
59,1,F,1,Male,4,1,1
31,0,F,1,Male,0,8,1
35,0,F,1,Male,2,-1,1
24,0,M,1,Male,0,1,1
44,1,F,0,Male,0,8,1
26,0,M,1,Female,0,1,1
45,0,F,0,Female,1,1,1
26,0,F,1,Male,4,0,0
28,0,F,1,Female,1,0,1
53,0,F,1,Male,4,1,1
56,1,F,0,Male,6,1,1
34,1,F,1,Male,0,2,0
46,0,F,0,Male,0,0,1
36,0,M,0,Female,1,1,1
66,0,M,0,Male,0,0,1
30,0,F,1,Male,2,16,1
36,1,F,1,Female,1,6,1
23,0,M,1,Male,1,5,0
30,0,M,1,Male,2,18,1
25,1,M,1,Male,0,1,1
40,0,M,0,Male,0,0,1
23,1,F,1,Male,2,2,1
36,0,F,1,Male,2,0,1
57,0,F,1,Male,19,3,1
22,0,F,0,Male,0,57,0
36,0,M,1,Male,2,0,1
22,1,F,1,Male,1,15,1
49,0,F,0,Female,1,1,1
33,1,F,0,Male,4,2,1
22,1,F,1,Male,0,1,0
